arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,feature_storage,peak_resident_feature_rows,temporary_feature_cache_bytes,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,34,2,7,4411658,0.9539292454719543,0.1882108449935913,16384,8192,8192,4,2.4910089634358883,0.0,0.3824343141168356,0.2332865223288536,1.875288126990199,,,,98304,32768,65536,65536,16,1024,512,32768,8704,17408,8704
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,35,3,7,4411658,0.9524553418159485,0.18702229857444763,16384,8192,8192,4,2.6338956896215677,0.0,0.3960398808121681,0.2792197912931442,1.9586360175162554,,,,114688,49152,65536,65536,24,1024,512,32768,8960,26880,8960
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,36,2,7,4411658,0.9532334804534912,0.18240328133106232,16384,8192,8192,4,2.5665158070623875,0.0,0.394738994538784,0.23419124819338322,1.9375855643302202,,,,98304,32768,65536,65536,16,1024,512,32768,9216,18432,9216
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,37,3,7,4411658,0.9491131901741028,0.19794784486293793,16384,8192,8192,4,2.649017132818699,0.0,0.39411044493317604,0.28246498480439186,1.972441703081131,,,,114688,49152,65536,65536,24,1024,512,32768,9472,28416,9472
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,38,3,7,4411658,0.9500411152839661,0.20626816153526306,16384,8192,8192,4,2.5836680736392736,0.0,0.4009402561932802,0.2803323473781347,1.9023954700678587,,,,114688,49152,65536,65536,24,1024,512,32768,9728,29184,9728
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,39,4,7,4411658,0.948317289352417,0.20456194877624512,16384,8192,8192,4,2.664596473798156,0.0,0.425901185721159,0.3322547134011984,1.9064405746757984,,,,131072,65536,65536,65536,32,1024,512,32768,9984,39936,9984
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,40,2,7,4411658,0.95068359375,0.19220218062400818,16384,8192,8192,4,2.562282146885991,0.0,0.45382989197969437,0.23787560313940048,1.8705766517668962,,,,98304,32768,65536,65536,16,1024,512,32768,10240,20480,10240
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,41,3,7,4411658,0.9482660293579102,0.20666401088237762,16384,8192,8192,4,2.6444530449807644,0.0,0.4810591395944357,0.2696968000382185,1.8936971053481102,,,,114688,49152,65536,65536,24,1024,512,32768,10496,31488,10496
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,42,3,7,4411658,0.9502418041229248,0.1943894326686859,16384,8192,8192,4,2.679562134668231,0.0,0.5062273070216179,0.28354575857520103,1.889789069071412,,,,114688,49152,65536,65536,24,1024,512,32768,10752,32256,10752
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,43,4,7,4411658,0.9496729373931885,0.18927015364170074,16384,8192,8192,4,2.7377588488161564,0.0,0.4865595195442438,0.32195103727281094,1.9292482919991016,,,,131072,65536,65536,65536,32,1024,512,32768,11008,44032,11008
