condition,label,rank,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
rank_4,Joint-IID LoRA rank 4,4,115,1.4250998162954631,0.6379474733466239,monkey,11537,1.4624507547282486
rank_4,Joint-IID LoRA rank 4,4,82,1.711915900684794,0.5853962970667776,princess,9614,1.7068410511941356
rank_4,Joint-IID LoRA rank 4,4,94,1.6860063046556872,0.6018644396970285,plane,10298,1.6760152648504232
rank_4,Joint-IID LoRA rank 4,4,97,1.4558972112547774,0.6405314167483394,elephant,9183,1.4824265591474863
rank_4,Joint-IID LoRA rank 4,4,88,1.5448743688732345,0.6,neighbor,10370,1.6025671202398426
rank_4,Joint-IID LoRA rank 4,4,84,1.5103297371369209,0.6121818762645086,dragon,9391,1.560868279899148
rank_4,Joint-IID LoRA rank 4,4,81,1.5207290318743631,0.6155475270960509,queen,8027,1.560574414588393
rank_4,Joint-IID LoRA rank 4,4,79,1.4953813756508614,0.6178779437832362,horse,7898,1.71235609048528
rank_4,Joint-IID LoRA rank 4,4,67,1.4046196245010028,0.6233942874414388,bus,6617,1.4455126309405646
rank_8,Joint-IID LoRA rank 8,8,404,1.499972535803166,0.631785307441651,mouse,37747,1.530237510087023
rank_8,Joint-IID LoRA rank 8,8,413,1.6288090082651474,0.6104187307712364,rabbit,38354,1.6568855009741883
rank_8,Joint-IID LoRA rank 8,8,343,1.6465120680879632,0.6128157156220767,boat,32070,1.6724941004909828
rank_8,Joint-IID LoRA rank 8,8,329,1.4870785348539535,0.61075011825628,brother,40167,1.5239525592766061
rank_8,Joint-IID LoRA rank 8,8,287,1.8969460506286835,0.5528891599329167,parent,32795,1.8848924054516436
rank_8,Joint-IID LoRA rank 8,8,272,1.3740264489673457,0.6351960503720664,duck,27952,1.4484634585358718
rank_8,Joint-IID LoRA rank 8,8,277,1.3733997219041238,0.6289366020741493,sister,31531,1.4171619562125637
rank_8,Joint-IID LoRA rank 8,8,262,1.4542241805220721,0.6120890578999019,pet,32608,1.5052925382646658
rank_8,Joint-IID LoRA rank 8,8,172,1.5571948246456735,0.6113370880267001,bicycle,19176,1.6079321838340315
rank_8,Joint-IID LoRA rank 8,8,169,1.7022578346652535,0.577708841125637,grandma,22565,1.7277940711662347
rank_8,Joint-IID LoRA rank 8,8,160,1.6539661845268614,0.6129071025117173,lion,16642,1.6924694124544315
