backward_transfer,best_story_mean_nll,final_forgetting,final_stage,final_story_mean_nll,first_evaluated_stage,first_story_mean_nll,method,order,task_id,worst_forgetting
0.007866421566210313,1.3928885489601306,0.009805454551039983,192,1.4026940035111706,120,1.4105604250773809,log_t,blocked,wheel,0.017671876117250296
-0.11838868637486022,1.5840298536912505,0.11838868637486022,192,1.7024185400661107,72,1.5840298536912505,sequential_lora,blocked,bicycle,0.1346996456031253
-0.1441729004001162,1.685786276665115,0.1441729004001162,192,1.8299591770652313,24,1.685786276665115,sequential_lora,blocked,boat,0.1699867703341591
-0.12439874529011008,1.5215660479846784,0.12439874529011008,192,1.6459647932747885,32,1.5215660479846784,sequential_lora,blocked,brother,0.13217975832896234
0.0,1.4243441284613052,0.0,192,1.4243441284613052,192,1.4243441284613052,sequential_lora,blocked,bus,0.0
-0.29011503113971315,1.350631350073376,0.29011503113971315,192,1.6407463812130891,112,1.350631350073376,sequential_lora,blocked,cow,0.31392667133528507
-0.23648717752139636,1.51677978253358,0.23648717752139636,192,1.7532669600549764,168,1.51677978253358,sequential_lora,blocked,dragon,0.23648717752139636
-0.19567835877116058,1.4001319692645289,0.19567835877116058,192,1.5958103280356895,48,1.4001319692645289,sequential_lora,blocked,duck,0.21758638962961063
-0.13906516578730854,1.4795023338150397,0.13906516578730854,192,1.6185674996023482,152,1.4795023338150397,sequential_lora,blocked,elephant,0.13906516578730854
-0.21381642268098955,1.6379451696234701,0.21381642268098955,192,1.8517615923044597,96,1.6379451696234701,sequential_lora,blocked,fairy,0.2527363788022372
-0.20070106269654087,1.7286338129883463,0.20070106269654087,192,1.9293348756848872,80,1.7286338129883463,sequential_lora,blocked,grandma,0.2097876053723431
-0.09756607987783328,1.532572004214267,0.09756607987783328,192,1.6301380840921003,184,1.532572004214267,sequential_lora,blocked,horse,0.09756607987783328
-0.1702531509299583,1.6764058433843956,0.1702531509299583,192,1.8466589943143539,88,1.6764058433843956,sequential_lora,blocked,lion,0.2006912342447782
-0.10914029980291629,1.4547475256990303,0.10914029980291629,192,1.5638878255019466,128,1.4547475256990303,sequential_lora,blocked,monkey,0.10914029980291629
-0.14643746702050264,1.537225301216266,0.14643746702050264,192,1.6836627682367686,8,1.537225301216266,sequential_lora,blocked,mouse,0.17109156299663075
-0.12070526200923126,1.5685570273456593,0.12070526200923126,192,1.6892622893548905,160,1.5685570273456593,sequential_lora,blocked,neighbor,0.12070526200923126
-0.14691740863163782,1.9208777063049907,0.14691740863163782,192,2.0677951149366285,40,1.9208777063049907,sequential_lora,blocked,parent,0.16583783353126447
-0.13036595071999035,1.4837815282994133,0.13036595071999035,192,1.6141474790194037,64,1.4837815282994133,sequential_lora,blocked,pet,0.13869422066001236
-0.13072103686513725,1.7275486126345145,0.13072103686513725,192,1.8582696494996518,144,1.7275486126345145,sequential_lora,blocked,plane,0.13072103686513725
-0.13683357027579368,1.744359082107745,0.13683357027579368,192,1.8811926523835387,136,1.744359082107745,sequential_lora,blocked,princess,0.13683357027579368
-0.1519469464251375,1.545807303046195,0.1519469464251375,192,1.6977542494713325,176,1.545807303046195,sequential_lora,blocked,queen,0.1519469464251375
-0.12041428420583533,1.6724617679575957,0.12041428420583533,192,1.792876052163431,16,1.6724617679575957,sequential_lora,blocked,rabbit,0.13807484339207687
-0.13193978210076174,1.4045504331330192,0.13193978210076174,192,1.536490215233781,56,1.4045504331330192,sequential_lora,blocked,sister,0.16402028697843174
-0.16527754357253532,1.727498907883539,0.16527754357253532,192,1.8927764514560743,104,1.727498907883539,sequential_lora,blocked,train,0.16527754357253532
-0.17394582288663973,1.4144711976207573,0.17394582288663973,192,1.588417020507397,120,1.4144711976207573,sequential_lora,blocked,wheel,0.20689408713721225
0.0,1.6048625515800976,0.0,192,1.6048625515800976,16,1.6048625515800976,base,round_robin,bicycle,0.0
0.0,1.7240843312145868,0.0,192,1.7240843312145868,8,1.7240843312145868,base,round_robin,boat,0.0
0.0,1.5464053043815191,0.0,192,1.5464053043815191,8,1.5464053043815191,base,round_robin,brother,0.0
0.0,1.859241611173836,0.0,192,1.859241611173836,24,1.859241611173836,base,round_robin,bus,0.0
0.0,1.554766704090425,0.0,192,1.554766704090425,16,1.554766704090425,base,round_robin,cow,0.0
0.0,1.7423912320669364,0.0,192,1.7423912320669364,24,1.7423912320669364,base,round_robin,dragon,0.0
0.0,1.470287359237089,0.0,192,1.470287359237089,8,1.470287359237089,base,round_robin,duck,0.0
0.0,1.5104704018711608,0.0,192,1.5104704018711608,24,1.5104704018711608,base,round_robin,elephant,0.0
0.0,1.774398590162077,0.0,192,1.774398590162077,16,1.774398590162077,base,round_robin,fairy,0.0
