delta,end_arrival,kind,left_signed_increment,level,order,parent_chunk_id,right_signed_increment,start_arrival
-0.013634238520428,46,validation,-0.013634238520428,1,blocked,1a4b858fd015d1a493dd1ebbcb97d92777b653c17e92b8a9eb88e3a3df358730,-0.018658976713726627,45
0.02207452934022491,156,source,0.02203276268381371,1,blocked,1aee86eee36b0e709c5194bd14465473e68a321fa337166ef1e246f294373480,0.02207452934022491,155
-0.01145596680119332,156,validation,-0.02062265791339013,1,blocked,1aee86eee36b0e709c5194bd14465473e68a321fa337166ef1e246f294373480,-0.01145596680119332,155
0.015830007563345502,108,source,0.015830007563345502,2,blocked,1ef3669f2ba0662b9e78b1d7cf0eb8971c31019580b122b8974954b4b0730459,0.01337435948645216,105
0.011549463335251975,108,validation,-0.001537689310035839,2,blocked,1ef3669f2ba0662b9e78b1d7cf0eb8971c31019580b122b8974954b4b0730459,0.011549463335251975,105
0.009406065225606053,184,source,0.006557222975737132,1,blocked,1f2688e32c39263be09cd409d6cb33362cbf0c5ce6976cdcdaab03af905a558d,0.009406065225606053,183
-0.048386185050360186,184,validation,-0.054502697867266026,1,blocked,1f2688e32c39263be09cd409d6cb33362cbf0c5ce6976cdcdaab03af905a558d,-0.048386185050360186,183
0.01196806692890815,188,source,0.01196806692890815,2,blocked,23ae0adf76434eea2a2b23da1b790ae5ffcf74fd30ed64d1d09983cb24f661c0,0.009122786206250708,185
-0.014646016181031118,188,validation,-0.014646016181031118,2,blocked,23ae0adf76434eea2a2b23da1b790ae5ffcf74fd30ed64d1d09983cb24f661c0,-0.018580532191857735,185
0.034741166992086514,78,source,0.017759308722586686,1,blocked,23ca37720a8d28b757226ac59469da942ed78e952adab239bce36c7efd5b43ca,0.034741166992086514,77
-0.0019977163486588623,78,validation,-0.0019977163486588623,1,blocked,23ca37720a8d28b757226ac59469da942ed78e952adab239bce36c7efd5b43ca,-0.004921473295101508,77
0.02960294238790922,80,source,0.01959479786996259,2,blocked,2416918282d67f292f141df8b34393e25e87d383f92c60be69b470abb975ee17,0.02960294238790922,77
-0.007908640399319378,80,validation,-0.007908640399319378,2,blocked,2416918282d67f292f141df8b34393e25e87d383f92c60be69b470abb975ee17,-0.01199826891381317,77
0.03336669635839451,60,source,0.03285553848641598,1,blocked,25fc71534369ca988dfa0240551ce3f3d39f2019d572f70e44eb7e561984d171,0.03336669635839451,59
-0.011517430823682728,60,validation,-0.02149385388320013,1,blocked,25fc71534369ca988dfa0240551ce3f3d39f2019d572f70e44eb7e561984d171,-0.011517430823682728,59
0.014902834725667977,104,source,0.014902834725667977,2,blocked,26e0079fc93aa4f9a910bd9779173f45ea989c14252750c2865cb53b869bb4b2,0.00995672438042827,101
-9.986117511573411e-05,104,validation,-0.003021968186959656,2,blocked,26e0079fc93aa4f9a910bd9779173f45ea989c14252750c2865cb53b869bb4b2,-9.986117511573411e-05,101
0.05109945814982418,96,source,0.04545124194560691,4,blocked,282e188f73d2512fc7abd1bc155e552f11513960aad7d622cbbe0e4c61b6570b,0.05109945814982418,81
