address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
0.5125,1600,macro,,0.042791113764201485,2.298179329931736,0.07946224026381969,log_t,164020,0.7125,1.635459229281453,blocked,192,160,1.6782503430456543,0.6103232784521091,lion,16642,1.7154646791986026
0.33043478260869563,1150,macro,,0.028590788967807697,2.2973728864089304,0.09307799080143804,log_t,113650,0.7739130434782608,1.4073742603772064,blocked,192,115,1.4359650493450145,0.6329201698881859,monkey,11537,1.4718568581502338
0.3069306930693069,4040,macro,,0.055843418644848784,2.2987851624441618,0.06414352608199167,log_t,371410,0.6707920792079208,1.4787927912552132,blocked,192,404,1.534636209900062,0.62977190240284,mouse,37747,1.5637216196599082
0.2840909090909091,880,macro,,0.06472098254529242,2.2992451163855465,0.062077782370827415,log_t,102320,0.5,1.5155745283266016,blocked,192,88,1.5802955108718935,0.6002892960462873,neighbor,10370,1.6348078008615408
0.2926829268292683,2870,macro,,0.061259232987685215,2.300357677379967,0.041429168048220645,log_t,323570,0.5052264808362369,1.88355202268087,blocked,192,287,1.9448112556685524,0.5489251410275957,parent,32795,1.9315145949834658
0.3320610687022901,2620,macro,,0.053405305201235743,2.296784559278998,0.1825615590765276,log_t,322080,0.7862595419847328,1.4272108374711217,blocked,192,262,1.4806161426723565,0.6104023552502453,pet,32608,1.527547094294613
0.43617021276595747,940,macro,,0.0256673167381288,2.2981058004054615,0.09900186607178221,log_t,101640,0.8404255319148937,1.6700090784041293,blocked,192,94,1.695676395142258,0.6032239269761118,plane,10298,1.6865042882142518
0.2804878048780488,820,macro,,0.04104243396018123,2.2965681436585217,0.042772397762391626,log_t,94950,0.5487804878048781,1.6872489267337714,blocked,192,82,1.7282913606939527,0.5816517578531308,princess,9614,1.7210582766285898
0.4691358024691358,810,macro,,0.04785670848597305,2.294669089493928,0.1333928159725519,log_t,79030,0.7654320987654321,1.4897043846162312,blocked,192,81,1.5375610931022037,0.6124330384950791,queen,8027,1.578808406377412
0.3026634382566586,4130,macro,,0.036191320665382935,2.29867414585326,0.052524222300069964,log_t,377270,0.7142857142857143,1.6015777076921014,blocked,192,413,1.6377690283574846,0.6063513583980811,rabbit,38354,1.6655559783658949
0.36823104693140796,2770,macro,,0.05736929512512496,2.298514617479235,0.08353542356284517,log_t,311230,0.7003610108303249,1.3522355340090224,blocked,192,277,1.409604829134148,0.6268434239320034,sister,31531,1.4474968948780438
0.5390070921985816,1410,macro,,0.02202853682944734,2.296993625924942,0.11894968722728973,log_t,148530,0.8014184397163121,1.6831758542542308,blocked,192,141,1.705204391083678,0.6063321385902031,train,15066,1.6959783947042113
0.4057971014492754,1380,macro,,0.042436595750965415,2.2939324759054873,0.13229778149853583,log_t,169590,0.7898550724637681,1.3602574077602052,blocked,192,138,1.4026940035111706,0.6246722218984908,wheel,17161,1.4613994476463292
0.046511627906976744,344,macro,,0.09896459656165107,,,sequential_lora,37840,,1.6034539435044606,blocked,192,172,1.7024185400661107,0.5902690863579474,bicycle,19176,1.7488787616099921
0.06705539358600583,686,macro,,0.10919063860261248,,,sequential_lora,63106,,1.7207685384626175,blocked,192,343,1.8299591770652313,0.5904271905207359,boat,32070,1.8463593903158846
