active_adapter_bytes,active_adapter_count,address_candidate_count_including_base,amortized_optimizer_updates_per_arrival,archived_adapter_bytes,archived_adapter_count,arrival,carry_depth,cumulative_insertion_runtime_seconds,cumulative_optimizer_updates,insertion_optimizer_updates,insertion_runtime_seconds,order,source_shard_id,task_id
8319024,7,8,328.8627450980392,112901040,95,51,2,921.8190280273557,16772,548,28.720277776941657,blocked,dac1b4f1936a3b595124f9ee064a0eb6b9473e1f9ee0505e1fd24ea3c4e8cba4,sister
9507456,8,9,324.15384615384613,114089472,96,52,0,926.1596682500094,16856,84,4.340640222653747,blocked,b212240fe0d1a7577662e9c69d443530a41398e5f2b9f2039761952814b4cea2,sister
9507456,8,9,322.64150943396226,116466336,98,53,1,938.7773153353482,17100,244,12.617647085338831,blocked,6e47f8309f502de41f617d7dbaed1484b954e1096b07d4099d0bcf7ce024fc6d,sister
10695888,9,10,318.14814814814815,117654768,99,54,0,942.9031196534634,17180,80,4.125804318115115,blocked,6a30f105b4660a1bd4c26b8e99fc5b82f0b9e55fa05b7c720a362ffc80743cd8,sister
8319024,7,8,333.74545454545455,122408496,103,55,3,1005.5032998304814,18356,1176,62.600180177018046,blocked,9ddb9a3faf192e9710d2b9fee7b9b72739c2a329dcf8a935899805db0ab344e9,sister
9507456,8,9,329.2142857142857,123596928,104,56,0,1009.673172365874,18436,80,4.169872535392642,blocked,4f4655d0f1f67dd71e01203d13a4fe84447748793ad72169a4270436239a212c,sister
9507456,8,9,327.859649122807,125973792,106,57,1,1022.6683609485626,18688,252,12.99518858268857,blocked,206834bb8deb669fa1733e6a6f113fc4f7e253e5a314836051bc5143ac88b138,pet
10695888,9,10,323.7241379310345,127162224,107,58,0,1027.241501947865,18776,88,4.573140999302268,blocked,5ce2c7cd0fc4978ab6ebdf092209462b707045796472be987a1a92ebc7a3def5,pet
9507456,8,9,328.135593220339,130727520,110,59,2,1057.7818443421274,19360,584,30.540342394262552,blocked,64eb07c510d370decb5adc55f8a0cb811d5e90d4f5b1ff9472c806d3d6ec5ed3,pet
10695888,9,10,324.1333333333333,131915952,111,60,0,1062.3413833230734,19448,88,4.559538980945945,blocked,4b34c9301e8290fd1c22e2cbc38fd5ee21122ed4dfe468b36e02bd7a38ba160e,pet
