address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,token_count,token_mean_nll
0.0625,80,sentinel,,0.06917941003803162,1.6072025373578072,0.028575334697961807,log_t,7555,0.8125,1.590853075802654,blocked,6,16,1.6600324858406854,0.6166883963494133,1534,1.6591567048193423
0.625,32,sentinel,,0.028308828400300454,,,sequential_lora,3022,,1.63069520005601,blocked,6,16,1.6590040284563103,0.6140808344198174,1534,1.658343100019353
1.0,16,sentinel,,0.0,,,base,1511,,1.6737760199522007,blocked,7,16,1.6737760199522007,0.6069100391134289,1534,1.6696325249901962
0.5,64,sentinel,,0.04698514066470598,1.3834270983934402,0.02451781928539276,log_t,6044,0.75,1.5817335317878014,blocked,7,16,1.6287186724525078,0.6271186440677966,1534,1.62872704875205
0.6875,32,sentinel,,0.01471424268843595,,,sequential_lora,3022,,1.6286310115139588,blocked,7,16,1.6433452542023945,0.6205997392438071,1534,1.642924949118802
1.0,16,sentinel,,0.0,,,base,1511,,1.6737760199522007,blocked,8,16,1.6737760199522007,0.6069100391134289,1534,1.6696325249901962
0.5,80,sentinel,,0.04242207808203306,1.6069611385464668,0.021708201617002487,log_t,7555,0.8125,1.5792893075418488,blocked,8,16,1.621711385623882,0.6290743155149935,1534,1.6215832746324204
0.6875,32,sentinel,,0.02114518586822689,,,sequential_lora,3022,,1.62067856098652,blocked,8,16,1.641823746854747,0.6232073011734028,1534,1.6422792705749751
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,9,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.34375,160,sentinel,,0.0556615975568416,1.6071221195161343,0.04451238736510277,log_t,15255,0.65625,1.5918861521127807,blocked,9,32,1.6475477496696223,0.6087096774193549,3100,1.6720026348483177
0.5,64,sentinel,,0.030581807393268975,,,sequential_lora,6102,,1.6368126707229256,blocked,9,32,1.6673944781161942,0.6006451612903226,3100,1.6922885217974264
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,10,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.3125,192,sentinel,,0.04968708725874982,1.7894094362854958,0.032174207270145416,log_t,18306,0.71875,1.591720473615727,blocked,10,32,1.6414075608744767,0.61,3100,1.6671309489588584
