accuracy,base_head_union,cosine_union,frontier_hash,future_information_effect_pp,future_informed_joint_iid,live_nodes,local_log_probability_union,raw_union,stage,stage_matched_joint_iid,stage_matched_minus_true_node_pp,true_node_oracle
77.7400553226471,72.6479172706604,76.6731321811676,0a08fd932be6ad5fa0b128300a2de11e5e976be59b48fd6a3adbf22074c1a315,3.9282262325286865,86.3239586353302,1,77.78855562210083,77.78855562210083,16,82.39573240280151,4.607176780700684,77.78855562210083
74.90859031677246,71.89213633537292,74.22303557395935,45a5333f5a0306141cb93387df9d8577e8ca1625c721c5f35b89fbfd678d6159,4.6160876750946045,85.78610420227051,2,57.08409547805786,76.1883020401001,17,81.1700165271759,2.3308932781219482,78.83912324905396
74.89101886749268,71.05492353439331,74.06277060508728,eb416301046812feaf559d7c3a2c057b7aab0dcb4bd4c1c1af290d87b6fbcf3d,4.1412413120269775,85.83260774612427,2,66.25980734825134,74.9346137046814,18,81.69136643409729,2.571922540664673,79.11944389343262
74.15730357170105,70.07907032966614,73.2833981513977,876f7fbd3cea4827842d92eabae0b6c0c4a6b4129c524b2f4e57cb6dc71dc686,3.66208553314209,85.64294576644897,3,58.843111991882324,74.032461643219,19,81.98086023330688,2.413654327392578,79.5672059059143
74.20127987861633,70.76677083969116,73.36261868476868,b35d73249f23a1a3fff71ba6e385021a8e4a2491d1d3a8d792b256246874f640,4.23322319984436,85.14376878738403,2,70.04792094230652,74.88019466400146,20,80.91054558753967,1.876997947692871,79.0335476398468
72.05438017845154,69.75075602531433,72.2432017326355,71fbed7eb03a91be67d402309b3042eeb79f586d55c4bcf473be82f92aa5b249,2.832329273223877,84.85649824142456,3,52.719032764434814,72.99848794937134,21,82.02416896820068,2.3413896560668945,79.68277931213379
72.79624342918396,69.54479813575745,72.25433588027954,50340f20783fdca5f7cfaebb7da3861cb8e6bdc1ede7972f43d1c6feb023b05f,2.9985547065734863,84.71820950508118,3,65.35404920578003,73.30202460289001,22,81.71965479850769,1.5895962715148926,80.1300585269928
70.36395072937012,68.18024516105652,70.15597820281982,fbd3f4ac5c2820b2b9ecb5131ffbff81c54f88fdd7724cf926c5118cae57461d,2.357017993927002,84.15944576263428,4,54.38475012779236,71.7850923538208,23,81.80242776870728,1.2131750583648682,80.58925271034241
72.7027952671051,69.13496851921082,71.55839800834656,41bc274bd70e7a1bc6c9b617294ffd9a86cff1020d9a3102e4c26f43ea5d4a1d,2.7263522148132324,83.67552757263184,2,70.64961194992065,73.00572395324707,24,80.9491753578186,2.558058500289917,78.39111685752869
70.22398114204407,68.478262424469,69.53228116035461,f57b79b0aa65165ee7e52b643820f24ff8a77901f8b89f127248c040ff8754e4,2.6350438594818115,83.26745629310608,3,54.74308133125305,71.37681245803833,25,80.63241243362427,2.0092248916625977,78.62318754196167
69.61063742637634,68.12282204627991,69.76891160011292,50627082c94200736e645573b28bb393bf0b5776ff2e8e1f7344bc4eccdadbd5,2.4691343307495117,82.90598392486572,3,62.55143880844116,71.35169506072998,26,80.43684959411621,1.3928472995758057,79.0440022945404
67.45110154151917,65.52567481994629,67.29828715324402,7ad3279f27b51d5254cf3d92bc6523018b1369b4329b72ea931b0e289d078fb5,2.506113052368164,82.76283740997314,4,44.22371685504913,67.51222610473633,27,80.25672435760498,0.8557438850402832,79.4009804725647
68.13870668411255,67.24955439567566,69.08713579177856,a27ef33eaf5ab5fc479a68bc84e0dbd4c3f5bf99ab588e207b9511f2b1bbb6f2,2.578538656234741,82.48369693756104,3,65.0859534740448,70.65797448158264,28,79.9051582813263,0.7409632205963135,79.16419506072998
66.11238718032837,66.14105701446533,67.68922209739685,ac5c93415151c8a8cd0bcb56d4ff8ec33cc3e811d7d71fedc4ea153d2a0d9d2d,2.0642220973968506,81.82339668273926,4,54.243117570877075,69.06536817550659,29,79.75917458534241,0.20068883895874023,79.55848574638367
66.55861735343933,65.74824452400208,67.3960030078888,247f8f5129efd8f8fc490c4c28cb6ff0472c464669535c872c53226e6466ddd7,1.350623369216919,81.84764981269836,4,60.04862189292908,68.85467171669006,30,80.49702644348145,0.6212830543518066,79.87574338912964
64.67505097389221,65.1467502117157,66.53563976287842,8424ca628a5a2a6bbf19e67add448039bbcbe94a38a9f81a33878e0572b44152,1.46750807762146,81.76100850105286,5,50.78616142272949,67.76729822158813,31,80.2935004234314,0.02620220184326172,80.26729822158813
75.01913905143738,66.87930822372437,72.87573218345642,c592a0a82b92c5aae7ea1af17b9798f2d1ed12327c894141293f964a99fd2cd7,1.3013482093811035,81.57693147659302,1,74.917072057724,74.917072057724,32,80.27558326721191,5.358511209487915,74.917072057724
73.7220823764801,66.52605533599854,71.66253328323364,78302991fb45d4250e7950d16cca679e3956238efadda78a2cdf266bd4939e1a,1.3895809650421143,81.53846263885498,2,56.72456622123718,74.29280281066895,33,80.14888167381287,4.64019775390625,75.50868391990662
72.87805080413818,66.58536791801453,71.24390006065369,1c0f6ccb6dbe2ce036c96163c9752ccfc33fc4b1ecd15356555b0ed1f03e8c6c,1.1707305908203125,81.39024376869202,2,60.17073392868042,73.58536720275879,34,80.2195131778717,4.658538103103638,75.56097507476807
70.40792107582092,65.8335268497467,70.05423307418823,9932d162cc377e83e9e7e4049b68d932caca0ff6fea5cb8709c9fb5acd30e24d,1.2732863426208496,81.27800226211548,3,48.290497064590454,72.41216897964478,35,80.00471591949463,3.843432664871216,76.16128325462341
71.78612351417542,66.00682735443115,71.53583765029907,1b5cb3c5125b0f29174a555e74f2bc4697c3e967c696bc3f5ddf63174f72f149,1.6382277011871338,81.38794302940369,2,64.00455236434937,72.44595885276794,36,79.74971532821655,3.321957588195801,76.42775774002075
69.46397423744202,65.04833102226257,69.92530822753906,f0d9c07158d0e42b9312d537b8264f12f838c41c39285ad4f5b79a19c4a95cfd,0.9226679801940918,80.88752031326294,3,50.21968483924866,70.86994647979736,37,79.96485233306885,2.83392071723938,77.13093161582947
69.32907104492188,65.00532627105713,69.6272611618042,e34365a1668265df0fe6d7eb6fef8b0e9a5924a1a515756b30461712d0bbebf5,0.9584665298461914,80.97976446151733,3,57.03940391540527,70.86262106895447,38,80.02129793167114,2.5559067726135254,77.46539115905762
68.68371963500977,64.75358605384827,68.99563074111938,ffeba080d6580c87d3c1dab7f8f3cf0db5f07be6c80d981e85690e9cae69fad3,0.8109807968139648,80.68205714225769,4,50.34310817718506,70.30567526817322,39,79.87107634544373,1.8922865390777588,77.97878980636597
70.14352083206177,65.19102454185486,70.44673562049866,20ca72f5251b5452f2d8bb2d748e665fc7168cb7d7823c21e96e6e1b514201c9,0.4851400852203369,80.57408332824707,2,67.11137890815735,71.6393768787384,40,80.08894324302673,3.395998477935791,76.69294476509094
68.41266751289368,64.6683931350708,69.42840218544006,c561c87b2ff8e8b5427be1bb3dd03b391c075615384e44d704398674c5935c0f,0.4779934883117676,80.40230870246887,3,55.76578378677368,70.84246277809143,41,79.9243152141571,3.106945753097534,76.81736946105957
67.5974428653717,63.95190954208374,68.95481944084167,abfcdc9a3186c19d9fcfd9e6beee6b986d5882a8686a0aef55e8d0b8e9006351,0.1163482666015625,80.1047146320343,3,60.03490686416626,70.06011009216309,42,79.98836636543274,3.0444085597991943,76.94395780563354
66.55244827270508,63.735008239746094,67.29487776756287,f240f707b6e116ff283e19ffa41dce2747c22a570f6cfd3be4ab3cb985116073,0.36169886589050293,80.04949688911438,4,51.26594305038452,69.44603323936462,43,79.68779802322388,2.4367034435272217,77.25109457969666
66.89823269844055,63.650017976760864,68.30642223358154,93a7dc4f13c3d3ba7f5ea937b82b1d9846291d4eccc3be113925efd102d1069f,0.11265277862548828,79.83477115631104,3,62.14795112609863,69.71460580825806,44,79.72211837768555,2.7600467205047607,76.96207165718079
66.45184755325317,63.7267529964447,67.55661964416504,59ab43099fef679680c9672baa2227285ca266113ce1910de6177162f17bd501,0.29460787773132324,79.91161942481995,4,50.65365433692932,69.21377182006836,45,79.61701154708862,2.2831857204437256,77.3338258266449
64.50161933898926,62.68441677093506,66.94854497909546,3b10d598a0e2d6370d43ef998f87f9f9618129963592a52e7ba2045a9b1f3f9c,-0.01799464225769043,79.61496710777283,4,54.066210985183716,68.22597980499268,46,79.63296175003052,2.087080478668213,77.5458812713623
62.863689661026,61.71751022338867,64.8033857345581,7866f068788ff903d6f4c4577bf82271cc2c16a670de8f0823ad637304263110,-0.4408419132232666,79.40398454666138,5,38.52936029434204,65.49109220504761,47,79.84482645988464,2.0278632640838623,77.81696319580078
67.33494400978088,63.42896819114685,68.02626848220825,01d165242ec1954b7d79f5f0e1f2694f3024568b40aa96f5fae48b692740251d,-0.10369420051574707,79.0010392665863,2,67.28309988975525,69.94469165802002,48,79.10473346710205,2.8689920902252197,76.23574137687683
63.82003426551819,63.14091682434082,66.68930649757385,1094bfb251816cfc00571e8d8d73c945209c9c34b0a7f7a8f5608238932489e4,-0.2037346363067627,78.82852554321289,3,51.83361768722534,69.37181949615479,49,79.03226017951965,2.4957597255706787,76.53650045394897
65.56666493415833,63.099998235702515,67.00000166893005,c1aa440a19427972ee02217189f45989bae70e32b79a59dcab7d7379e667621d,0.0,78.86666655540466,3,57.93333053588867,69.26666498184204,50,78.86666655540466,2.133333683013916,76.73333287239075
