accuracy,stage,task
67.92452931404114,29,18
49.54128563404083,29,19
60.3960394859314,29,20
67.36111044883728,29,21
63.333332538604736,29,22
56.41025900840759,29,23
55.81395626068115,29,24
60.00000238418579,29,25
62.60162591934204,29,26
66.37167930603027,29,27
79.41176295280457,29,28
78.94737124443054,29,29
77.11864113807678,30,1
73.07692170143127,30,2
64.38356041908264,30,3
70.45454382896423,30,4
71.09375,30,5
68.33333373069763,30,6
60.00000238418579,30,7
76.69172883033752,30,8
64.92537260055542,30,9
68.11594367027283,30,10
62.99999952316284,30,11
69.82758641242981,30,12
68.50393414497375,30,13
68.9393937587738,30,14
56.03448152542114,30,15
59.39849615097046,30,16
65.8730149269104,30,17
66.98113083839417,30,18
55.96330165863037,30,19
56.43564462661743,30,20
66.66666865348816,30,21
60.00000238418579,30,22
49.57264959812164,30,23
72.09302186965942,30,24
64.61538672447205,30,25
59.34959053993225,30,26
67.25663542747498,30,27
75.49019455909729,30,28
58.77193212509155,30,29
81.30841255187988,30,30
76.27118825912476,31,1
68.46153736114502,31,2
65.06849527359009,31,3
68.18181872367859,31,4
66.40625,31,5
69.16666626930237,31,6
59.130436182022095,31,7
78.19548845291138,31,8
60.447758436203,31,9
67.3913061618805,31,10
58.99999737739563,31,11
68.96551847457886,31,12
73.22834730148315,31,13
59.84848737716675,31,14
54.31034564971924,31,15
58.64661931991577,31,16
65.8730149269104,31,17
62.26415038108826,31,18
53.21100950241089,31,19
56.43564462661743,31,20
65.27777910232544,31,21
57.499998807907104,31,22
47.0085471868515,31,23
63.95348906517029,31,24
63.07692527770996,31,25
59.34959053993225,31,26
61.94690465927124,31,27
74.50980544090271,31,28
62.28070259094238,31,29
69.62617039680481,31,30
79.82456088066101,31,31
77.11864113807678,32,1
77.69230604171753,32,2
71.23287916183472,32,3
78.40909361839294,32,4
79.6875,32,5
79.16666865348816,32,6
71.30434513092041,32,7
81.95488452911377,32,8
67.16417670249939,32,9
73.9130437374115,32,10
68.99999976158142,32,11
74.13793206214905,32,12
77.95275449752808,32,13
77.27272510528564,32,14
68.96551847457886,32,15
69.17293071746826,32,16
73.01587462425232,32,17
83.01886916160583,32,18
70.64220309257507,32,19
68.31682920455933,32,20
79.16666865348816,32,21
73.33333492279053,32,22
68.37607026100159,32,23
70.9302306175232,32,24
70.76923251152039,32,25
78.04877758026123,32,26
73.45132827758789,32,27
82.35294222831726,32,28
70.17543911933899,32,29
77.57009267807007,32,30
78.0701756477356,32,31
82.52426981925964,32,32
72.03390002250671,33,1
76.92307829856873,33,2
71.91780805587769,33,3
79.54545617103577,33,4
75.78125,33,5
74.16666746139526,33,6
67.8260862827301,33,7
79.69924807548523,33,8
69.40298676490784,33,9
73.9130437374115,33,10
68.00000071525574,33,11
74.13793206214905,33,12
75.59055089950562,33,13
78.03030014038086,33,14
67.24137663841248,33,15
69.17293071746826,33,16
76.98412537574768,33,17
82.07547068595886,33,18
67.88991093635559,33,19
55.44554591178894,33,20
78.47222089767456,33,21
72.50000238418579,33,22
70.08547186851501,33,23
70.9302306175232,33,24
72.30769395828247,33,25
78.86179089546204,33,26
72.56637215614319,33,27
80.39215803146362,33,28
65.78947305679321,33,29
75.70093274116516,33,30
77.19298005104065,33,31
67.96116232872009,33,32
83.7837815284729,33,33
74.57627058029175,34,1
79.23076748847961,34,2
70.54794430732727,34,3
75.0,34,4
79.6875,34,5
75.83333253860474,34,6
68.6956524848938,34,7
81.20300769805908,34,8
64.92537260055542,34,9
73.18840622901917,34,10
63.999998569488525,34,11
69.82758641242981,34,12
71.65354490280151,34,13
78.78788113594055,34,14
66.37930870056152,34,15
66.91729426383972,34,16
72.22222089767456,34,17
76.41509175300598,34,18
67.88991093635559,34,19
58.415842056274414,34,20
81.25,34,21
69.9999988079071,34,22
73.50427508354187,34,23
74.41860437393188,34,24
66.15384817123413,34,25
77.2357702255249,34,26
70.79645991325378,34,27
81.3725471496582,34,28
66.66666865348816,34,29
76.16822719573975,34,30
74.56140518188477,34,31
66.01941585540771,34,32
72.07207083702087,34,33
84.28571224212646,34,34
72.03390002250671,35,1
75.38461685180664,35,2
67.80821681022644,35,3
70.45454382896423,35,4
73.4375,35,5
73.33333492279053,35,6
66.9565200805664,35,7
77.44361162185669,35,8
64.1791045665741,35,9
68.84058117866516,35,10
62.99999952316284,35,11
62.068963050842285,35,12
71.65354490280151,35,13
68.9393937587738,35,14
63.79310488700867,35,15
70.67669034004211,35,16
69.04761791229248,35,17
75.47169923782349,35,18
69.72476840019226,35,19
58.415842056274414,35,20
81.25,35,21
70.83333134651184,35,22
