condition_id,inference_condition,architecture,maintenance,router_seed,split,stage,task,examples,routed_accuracy,oracle_accuracy,selection_accuracy
A1,I-U100,r0,flat_full,1993,validation,50,5,95,83.15789473684211,96.84210526315789,84.21052631578947
A1,I-U100,r0,flat_full,1993,validation,50,6,92,68.47826086956522,100.0,68.47826086956522
A1,I-U100,r0,flat_full,1993,validation,50,7,107,69.1588785046729,100.0,69.1588785046729
A1,I-U100,r0,flat_full,1993,validation,50,8,105,71.42857142857143,98.09523809523809,72.38095238095238
A1,I-U100,r0,flat_full,1993,validation,50,9,109,75.22935779816514,100.0,75.22935779816514
A1,I-U100,r0,flat_full,1993,validation,50,10,79,59.49367088607595,93.67088607594937,62.0253164556962
A1,I-U100,r0,flat_full,1993,validation,50,11,93,59.13978494623656,98.9247311827957,60.215053763440864
A1,I-U100,r0,flat_full,1993,validation,50,12,102,61.76470588235294,99.01960784313727,61.76470588235294
A1,I-U100,r0,flat_full,1993,validation,50,13,106,76.41509433962264,100.0,76.41509433962264
A1,I-U100,r0,flat_full,1993,validation,50,14,93,72.04301075268818,94.6236559139785,76.34408602150538
A1,I-U100,r0,flat_full,1993,validation,50,15,106,69.81132075471697,93.39622641509435,75.47169811320755
A1,I-U100,r0,flat_full,1993,validation,50,16,99,64.64646464646465,96.96969696969697,66.66666666666666
A1,I-U100,r0,flat_full,1993,validation,50,17,85,55.294117647058826,95.29411764705881,60.0
A1,I-U100,r0,flat_full,1993,validation,50,18,87,73.5632183908046,98.85057471264368,74.71264367816092
A1,I-U100,r0,flat_full,1993,validation,50,19,82,65.85365853658537,100.0,65.85365853658537
A1,I-U100,r0,flat_full,1993,validation,50,20,116,67.24137931034483,94.82758620689656,69.82758620689656
A1,I-U100,r0,flat_full,1993,validation,50,21,96,61.458333333333336,97.91666666666666,61.458333333333336
A1,I-U100,r0,flat_full,1993,validation,50,22,94,55.319148936170215,93.61702127659575,56.38297872340425
A1,I-U100,r0,flat_full,1993,validation,50,23,70,62.857142857142854,98.57142857142858,64.28571428571429
A1,I-U100,r0,flat_full,1993,validation,50,24,53,56.60377358490566,98.11320754716981,56.60377358490566
A1,I-U100,r0,flat_full,1993,validation,50,25,99,64.64646464646465,98.98989898989899,64.64646464646465
A1,I-U100,r0,flat_full,1993,validation,50,26,91,57.14285714285714,95.6043956043956,59.34065934065934
A1,I-U100,r0,flat_full,1993,validation,50,27,81,59.25925925925925,97.53086419753086,59.25925925925925
A1,I-U100,r0,flat_full,1993,validation,50,28,92,51.08695652173913,98.91304347826086,51.08695652173913
A1,I-U100,r0,flat_full,1993,validation,50,29,171,64.91228070175438,98.24561403508771,65.49707602339181
A1,I-U100,r0,flat_full,1993,validation,50,30,91,60.43956043956044,98.9010989010989,60.43956043956044
A1,I-U100,r0,flat_full,1993,validation,50,31,82,56.09756097560976,97.5609756097561,57.3170731707317
A1,I-U100,r0,flat_full,1993,validation,50,32,89,60.67415730337079,100.0,60.67415730337079
A1,I-U100,r0,flat_full,1993,validation,50,33,57,47.368421052631575,96.49122807017544,47.368421052631575
A1,I-U100,r0,flat_full,1993,validation,50,34,112,47.32142857142857,98.21428571428571,47.32142857142857
A1,I-U100,r0,flat_full,1993,validation,50,35,123,58.536585365853654,100.0,58.536585365853654
A1,I-U100,r0,flat_full,1993,validation,50,36,126,38.88888888888889,96.82539682539682,38.88888888888889
A1,I-U100,r0,flat_full,1993,validation,50,37,114,60.526315789473685,96.49122807017544,62.28070175438597
A1,I-U100,r0,flat_full,1993,validation,50,38,92,43.47826086956522,97.82608695652173,44.565217391304344
A1,I-U100,r0,flat_full,1993,validation,50,39,110,40.0,97.27272727272728,41.81818181818181
A1,I-U100,r0,flat_full,1993,validation,50,40,60,31.666666666666664,98.33333333333333,31.666666666666664
A1,I-U100,r0,flat_full,1993,validation,50,41,109,38.53211009174312,100.0,38.53211009174312
A1,I-U100,r0,flat_full,1993,validation,50,42,76,52.63157894736842,100.0,52.63157894736842
A1,I-U100,r0,flat_full,1993,validation,50,43,58,51.724137931034484,98.27586206896551,51.724137931034484
A1,I-U100,r0,flat_full,1993,validation,50,44,85,49.411764705882355,100.0,49.411764705882355
A1,I-U100,r0,flat_full,1993,validation,50,45,102,36.27450980392157,97.05882352941177,37.254901960784316
A1,I-U100,r0,flat_full,1993,validation,50,46,91,48.35164835164835,97.8021978021978,48.35164835164835
A1,I-U100,r0,flat_full,1993,validation,50,47,91,47.25274725274725,98.9010989010989,47.25274725274725
A1,I-U100,r0,flat_full,1993,validation,50,48,85,29.411764705882355,96.47058823529412,29.411764705882355
A1,I-U100,r0,flat_full,1993,validation,50,49,89,76.40449438202246,100.0,76.40449438202246
A2,I-U100,r1,flat_full,1993,validation,50,0,94,61.702127659574465,94.68085106382979,65.95744680851064
A2,I-U100,r1,flat_full,1993,validation,50,1,102,62.745098039215684,94.11764705882352,67.64705882352942
A2,I-U100,r1,flat_full,1993,validation,50,2,117,66.66666666666666,98.29059829059828,67.52136752136752
A2,I-U100,r1,flat_full,1993,validation,50,3,139,67.62589928057554,98.56115107913669,68.34532374100719
A2,I-U100,r1,flat_full,1993,validation,50,4,103,64.07766990291263,92.23300970873787,66.99029126213593
A2,I-U100,r1,flat_full,1993,validation,50,5,95,82.10526315789474,96.84210526315789,83.15789473684211
A2,I-U100,r1,flat_full,1993,validation,50,6,92,65.21739130434783,100.0,65.21739130434783
A2,I-U100,r1,flat_full,1993,validation,50,7,107,64.48598130841121,100.0,64.48598130841121
