accuracy,condition,score_mode,stage,task
50.0,logt_retrain_union_r16,affine_calibrated,12,9
74.00000095367432,logt_retrain_union_r16,affine_calibrated,12,10
76.7241358757019,logt_retrain_union_r16,affine_calibrated,12,11
90.67796468734741,logt_retrain_union_r16,true_node_oracle,12,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,12,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,12,2
87.5,logt_retrain_union_r16,true_node_oracle,12,3
88.28125,logt_retrain_union_r16,true_node_oracle,12,4
81.66666626930237,logt_retrain_union_r16,true_node_oracle,12,5
80.0000011920929,logt_retrain_union_r16,true_node_oracle,12,6
90.97744226455688,logt_retrain_union_r16,true_node_oracle,12,7
85.07462739944458,logt_retrain_union_r16,true_node_oracle,12,8
82.6086938381195,logt_retrain_union_r16,true_node_oracle,12,9
88.99999856948853,logt_retrain_union_r16,true_node_oracle,12,10
92.24137663841248,logt_retrain_union_r16,true_node_oracle,12,11
80.5084764957428,logt_retrain_union_r16,centroid_router,12,0
73.07692170143127,logt_retrain_union_r16,centroid_router,12,1
70.54794430732727,logt_retrain_union_r16,centroid_router,12,2
79.54545617103577,logt_retrain_union_r16,centroid_router,12,3
63.28125,logt_retrain_union_r16,centroid_router,12,4
69.16666626930237,logt_retrain_union_r16,centroid_router,12,5
64.3478274345398,logt_retrain_union_r16,centroid_router,12,6
77.44361162185669,logt_retrain_union_r16,centroid_router,12,7
65.67164063453674,logt_retrain_union_r16,centroid_router,12,8
61.594200134277344,logt_retrain_union_r16,centroid_router,12,9
74.00000095367432,logt_retrain_union_r16,centroid_router,12,10
63.79310488700867,logt_retrain_union_r16,centroid_router,12,11
77.96609997749329,logt_retrain_union_r16,raw,13,0
69.2307710647583,logt_retrain_union_r16,raw,13,1
75.34246444702148,logt_retrain_union_r16,raw,13,2
75.0,logt_retrain_union_r16,raw,13,3
78.125,logt_retrain_union_r16,raw,13,4
71.66666388511658,logt_retrain_union_r16,raw,13,5
64.3478274345398,logt_retrain_union_r16,raw,13,6
84.21052694320679,logt_retrain_union_r16,raw,13,7
70.89552283287048,logt_retrain_union_r16,raw,13,8
65.94203114509583,logt_retrain_union_r16,raw,13,9
62.99999952316284,logt_retrain_union_r16,raw,13,10
68.1034505367279,logt_retrain_union_r16,raw,13,11
81.10235929489136,logt_retrain_union_r16,raw,13,12
72.88135886192322,logt_retrain_union_r16,cosine,13,0
69.2307710647583,logt_retrain_union_r16,cosine,13,1
69.17808055877686,logt_retrain_union_r16,cosine,13,2
72.15909361839294,logt_retrain_union_r16,cosine,13,3
73.4375,logt_retrain_union_r16,cosine,13,4
75.0,logt_retrain_union_r16,cosine,13,5
60.00000238418579,logt_retrain_union_r16,cosine,13,6
85.71428656578064,logt_retrain_union_r16,cosine,13,7
72.38805890083313,logt_retrain_union_r16,cosine,13,8
65.94203114509583,logt_retrain_union_r16,cosine,13,9
68.00000071525574,logt_retrain_union_r16,cosine,13,10
68.96551847457886,logt_retrain_union_r16,cosine,13,11
82.67716765403748,logt_retrain_union_r16,cosine,13,12
74.57627058029175,logt_retrain_union_r16,affine_calibrated,13,0
62.30769157409668,logt_retrain_union_r16,affine_calibrated,13,1
71.23287916183472,logt_retrain_union_r16,affine_calibrated,13,2
66.47727489471436,logt_retrain_union_r16,affine_calibrated,13,3
80.46875,logt_retrain_union_r16,affine_calibrated,13,4
73.33333492279053,logt_retrain_union_r16,affine_calibrated,13,5
67.8260862827301,logt_retrain_union_r16,affine_calibrated,13,6
84.21052694320679,logt_retrain_union_r16,affine_calibrated,13,7
67.91045069694519,logt_retrain_union_r16,affine_calibrated,13,8
55.07246255874634,logt_retrain_union_r16,affine_calibrated,13,9
62.99999952316284,logt_retrain_union_r16,affine_calibrated,13,10
71.55172228813171,logt_retrain_union_r16,affine_calibrated,13,11
83.4645688533783,logt_retrain_union_r16,affine_calibrated,13,12
90.67796468734741,logt_retrain_union_r16,true_node_oracle,13,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,13,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,13,2
87.5,logt_retrain_union_r16,true_node_oracle,13,3
88.28125,logt_retrain_union_r16,true_node_oracle,13,4
81.66666626930237,logt_retrain_union_r16,true_node_oracle,13,5
80.0000011920929,logt_retrain_union_r16,true_node_oracle,13,6
90.97744226455688,logt_retrain_union_r16,true_node_oracle,13,7
85.07462739944458,logt_retrain_union_r16,true_node_oracle,13,8
82.6086938381195,logt_retrain_union_r16,true_node_oracle,13,9
83.99999737739563,logt_retrain_union_r16,true_node_oracle,13,10
