adapt_lora,condition,dense_update_change_frobenius,dense_update_relative_change,dense_update_source_frobenius,family,historical_capacity,level,node_hash,node_index,represented_task_ids
,,0.9897772092967076,45.63932257411368,0.021686939101460342,single_affine,1024,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
,,0.8916056383254952,6.256670065783537,0.14250481948880542,single_affine,1024,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
,,0.7910830492553812,5.698891836876618,0.13881348723560766,single_affine,1024,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
,,0.9574739989057113,4.34831769765549,0.2201941222974482,single_affine,1024,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
,,0.8829913854811282,1.8781395774961496,0.4701415145397725,single_affine,1024,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
,,2.458793787277861,113.37670916926642,0.021686939101460342,single_affine,2048,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
,,2.4398895801706777,17.121453077327992,0.14250481948880542,single_affine,2048,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
,,2.1632924379587775,15.584166070887829,0.13881348723560766,single_affine,2048,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
,,2.4499308906023622,11.126232004017275,0.2201941222974482,single_affine,2048,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
,,2.443640591350327,5.197670309422554,0.4701415145397725,single_affine,2048,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
,,4.73162025781728,218.1783346963272,0.021686939101460342,single_affine,4096,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
,,4.986146558241848,34.989318790257045,0.14250481948880542,single_affine,4096,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
,,5.063896042637152,36.47985612552344,0.13881348723560766,single_affine,4096,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
,,5.185287483466268,23.54870979009034,0.2201941222974482,single_affine,4096,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
,,4.980096254069652,10.592760052140326,0.4701415145397725,single_affine,4096,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
,,9.671196144943107,445.94564957725515,0.021686939101460342,single_affine,8192,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
,,9.75924507174331,68.48361414548478,0.14250481948880542,single_affine,8192,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
,,9.337374977949835,67.26561780053505,0.13881348723560766,single_affine,8192,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
,,10.01702853171737,45.49180708005418,0.2201941222974482,single_affine,8192,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
,,9.4256869650092,20.048616583532567,0.4701415145397725,single_affine,8192,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
