condition,method,capacity,stage,accuracy,nll,current_examples,historical_available,introductions,current_reviews,historical_reviews,actual_historical_fraction,actual_historical_fraction_after_introduction,target_historical_fraction_after_introduction,training_forwards,training_backwards,quality_forwards,recompute_forwards,optimizer_steps,mean_batch_size,minimum_batch_size,full_batch_fraction,cumulative_presentations,cumulative_optimizer_steps,training_wall_seconds,cumulative_training_wall_seconds,evaluation_forwards,evaluation_wall_seconds,cumulative_evaluation_wall_seconds,loader_wall_seconds,scheduler_wall_seconds,checkpoint_wall_seconds,peak_vram_bytes,clock_advance,final_clock,historical_due,current_due,never_historically_replayed,quality_0_count,quality_1_count,quality_2_count,quality_3_count,quality_4_count,quality_5_count
srt_h4096,srt,4096,17,83.08957952468008,0.7414609758922666,498,8236,498,6622,11256,0.6125380931649979,0.6296006264682851,0.5,18376,18376,0,0,288,63.80555555555556,22,0.9930555555555556,242904,3815,50.91310687176883,675.7570942956954,2188,4.8687758427113295,44.85007748566568,18.783821431919932,1.0279855467379093,1.525764174759388,4194815488,0,3816,2862.0,20.0,632,2381.0,1016.0,1713.0,1338.0,2000.0,9928.0
srt_h4096,srt,4096,18,82.86835222319094,0.7664056029984299,423,8734,423,4794,12859,0.7113852622261563,0.7284314280858778,0.5,18076,18076,0,0,283,63.87279151943463,39,0.9929328621908127,260980,4098,51.10970493964851,726.8667992353439,2294,4.909489685669541,49.75956717133522,19.53868044167757,1.2291271947324276,1.2715471293777227,4194840064,0,4099,3064.0,16.0,540,2268.0,880.0,1412.0,1196.0,1820.0,10500.0
srt_h4096,srt,4096,19,82.72992093216813,0.7779038840844287,433,9157,433,5406,12277,0.6776882313976595,0.6942826443476786,0.5,18116,18116,0,0,284,63.7887323943662,19,0.9929577464788732,279096,4382,50.48750133626163,777.3543005716056,2403,5.111040376126766,54.87060754746199,18.6129788197577,1.1132265012711287,1.5288805905729532,4194864640,0,4383,3157.0,5.0,622,2308.0,850.0,1478.0,1282.0,1947.0,10251.0
srt_h4096,srt,4096,20,81.46964856230032,0.8372317839101565,406,9590,406,5334,12268,0.6812527765437584,0.6969662538347915,0.5,18008,18008,0,0,283,63.63250883392226,2,0.9929328621908127,297104,4665,50.466262022033334,827.8205625936389,2504,5.497423719614744,60.36803126707673,18.531802428886294,1.1168960966169834,1.7794905807822943,4194889216,0,4666,3374.0,22.0,588,2376.0,921.0,1588.0,1374.0,2035.0,9714.0
srt_h4096,srt,4096,21,82.3262839879154,0.8143982947720275,579,9996,579,6627,11494,0.6146524064171123,0.634291705755753,0.5,18700,18700,0,0,294,63.605442176870746,3,0.9931972789115646,315804,4959,52.11834577657282,879.9389083702117,2648,5.704819383099675,66.0728506501764,18.90114107914269,1.291659103706479,1.7335758153349161,4194913792,0,4960,3731.0,27.0,744,2468.0,957.0,1573.0,1314.0,2016.0,10372.0
srt_h4096,srt,4096,22,81.57514450867052,0.8300399612811106,480,10575,480,5876,11948,0.6527534965034965,0.6703321364452424,0.5,18304,18304,0,0,287,63.77700348432056,32,0.9930313588850174,334108,5246,51.08260685019195,931.0215152204037,2768,5.918362695723772,71.99121334590018,18.76794209331274,1.339650969952345,1.4471722599118948,4194938368,0,5247,4007.0,9.0,706,2545.0,914.0,1517.0,1275.0,1918.0,10135.0
srt_h4096,srt,4096,23,80.69324090121317,0.8774484334365743,468,11055,468,7306,10482,0.5741673970201577,0.5892736676411063,0.5,18256,18256,0,0,286,63.83216783216783,20,0.993006993006993,352364,5532,50.62219994328916,981.6437151636928,2885,6.225687548518181,78.21690089441836,18.012827657163143,1.3090328834950924,1.8403584603220224,4194962944,0,5533,4455.0,25.0,701,2679.0,1093.0,1624.0,1442.0,2014.0,9404.0
srt_h4096,srt,4096,24,80.84819925950859,0.8897645431894958,344,11523,344,4927,12489,0.7032094594594595,0.7170992191088654,0.5,17760,17760,0,0,279,63.655913978494624,8,0.992831541218638,370124,5811,49.60071434639394,1031.2444295100868,2971,6.4940155148506165,84.71091640926898,17.785791005939245,1.241273568943143,1.8871363960206509,4194987520,0,5812,4678.0,14.0,467,2545.0,911.0,1486.0,1311.0,1979.0,9528.0
srt_h4096,srt,4096,25,80.00658761528327,0.9508245501147677,259,11867,259,3697,13464,0.7729047072330655,0.7845696637725075,0.5,17420,17420,0,0,274,63.57664233576642,3,0.9927007299270073,387544,6085,49.33270204626024,1080.577131556347,3036,6.539577960968018,91.25049437023699,18.224340453743935,1.4574626348912716,1.5534481778740883,4195012096,0,6086,4744.0,7.0,383,2449.0,895.0,1560.0,1214.0,1899.0,9403.0
srt_h4096,srt,4096,26,79.32890155112378,0.9376083104570422,493,12126,493,5795,12068,0.6574417084332098,0.675586407658288,0.5,18356,18356,0,0,288,63.736111111111114,7,0.9930555555555556,405900,6373,52.73638659156859,1133.3135181479156,3159,6.595184024423361,97.84567839466035,19.72762511484325,1.53702849522233,1.8859221804887056,4195036672,0,6374,5016.0,28.0,626,2658.0,919.0,1512.0,1249.0,1902.0,10116.0
srt_h4096,srt,4096,27,79.46210268948656,0.9659112556558272,450,12619,450,5340,12394,0.6815882094148702,0.6988835006202775,0.5,18184,18184,0,0,286,63.58041958041958,2,0.993006993006993,424084,6659,51.66016698256135,1184.973685130477,3272,6.985022829845548,104.8307012245059,18.67831722088158,1.5947466809302568,2.0902516171336174,4195061248,0,6660,5263.0,22.0,683,2658.0,959.0,1496.0,1254.0,1874.0,9943.0
srt_h4096,srt,4096,28,79.72732661529342,0.9624374251771375,404,13069,404,4538,13058,0.7254444444444444,0.742100477381223,0.5,18000,18000,0,0,282,63.829787234042556,20,0.9929078014184397,442084,6941,50.75390188023448,1235.7275870107114,3374,7.617126764729619,112.44782798923552,18.41170357912779,1.6289883963763714,1.715539701282978,4195085824,0,6942,5482.0,3.0,608,2521.0,838.0,1476.0,1233.0,1877.0,10055.0
srt_h4096,srt,4096,29,78.6697247706422,1.0279722369153474,456,13473,456,5579,12173,0.6685522847100176,0.6857255520504731,0.5,18208,18208,0,0,286,63.66433566433567,8,0.993006993006993,460292,7227,52.74476467259228,1288.4723516833037,3488,7.892697546631098,120.34052553586662,19.60841481015086,1.6405224911868572,2.102684097364545,4195110400,0,7228,5886.0,14.0,699,2621.0,913.0,1541.0,1292.0,2006.0,9835.0
srt_h4096,srt,4096,30,79.38951917882225,0.9744066028493398,856,13929,856,8797,10155,0.512671647819063,0.5358273533136344,0.5,19808,19808,0,0,311,63.69131832797428,8,0.9935691318327974,480100,7538,55.38623066805303,1343.8585823513567,3702,8.23458831012249,128.5751138459891,19.83886854723096,1.5489131230860949,2.037048429250717,4195134976,0,7539,6695.0,36.0,1110,2880.0,1033.0,1671.0,1340.0,1934.0,10950.0
