condition,stage,task,accuracy,examples,correct,forgetting,backward_transfer
uniform_h1024,22,11,88.0,100,88,7.0,-7.0
uniform_h1024,22,12,79.3103448275862,116,92,12.93103448275862,-12.93103448275862
uniform_h1024,22,13,86.61417322834646,127,110,3.937007874015748,-3.937007874015748
uniform_h1024,22,14,90.15151515151516,132,119,3.787878787878782,-3.787878787878782
uniform_h1024,22,15,76.72413793103448,116,89,7.758620689655174,-7.758620689655174
uniform_h1024,22,16,75.18796992481202,133,100,13.53383458646617,-13.53383458646617
uniform_h1024,22,17,84.92063492063492,126,107,7.936507936507937,-7.936507936507937
uniform_h1024,22,18,91.50943396226415,106,97,3.773584905660371,-3.773584905660371
uniform_h1024,22,19,87.1559633027523,109,95,5.504587155963293,-5.504587155963293
uniform_h1024,22,20,75.24752475247524,101,76,10.89108910891089,-10.89108910891089
uniform_h1024,22,21,88.88888888888889,144,128,5.555555555555557,-5.555555555555557
uniform_h1024,22,22,91.66666666666667,120,110,,
uniform_h1024,23,1,85.59322033898304,118,101,5.932203389830519,-5.932203389830519
uniform_h1024,23,2,93.07692307692308,130,121,3.07692307692308,-3.07692307692308
uniform_h1024,23,3,86.3013698630137,146,126,1.3698630136986196,0.0
uniform_h1024,23,4,89.77272727272727,176,158,7.38636363636364,-7.38636363636364
uniform_h1024,23,5,89.0625,128,114,4.6875,-4.6875
uniform_h1024,23,6,84.16666666666667,120,101,2.5,-2.5
uniform_h1024,23,7,89.56521739130434,115,103,6.956521739130437,-6.956521739130437
uniform_h1024,23,8,88.7218045112782,133,118,6.766917293233078,-6.766917293233078
uniform_h1024,23,9,80.59701492537313,134,108,8.208955223880594,-8.208955223880594
uniform_h1024,23,10,83.33333333333333,138,115,7.971014492753625,-7.971014492753625
uniform_h1024,23,11,87.0,100,87,8.0,-8.0
uniform_h1024,23,12,77.58620689655173,116,90,14.655172413793096,-14.655172413793096
uniform_h1024,23,13,87.4015748031496,127,111,3.149606299212607,-3.149606299212607
uniform_h1024,23,14,85.60606060606061,132,113,8.333333333333329,-8.333333333333329
uniform_h1024,23,15,80.17241379310344,116,93,4.310344827586206,-4.310344827586206
uniform_h1024,23,16,75.18796992481202,133,100,13.53383458646617,-13.53383458646617
uniform_h1024,23,17,84.12698412698413,126,106,8.730158730158735,-8.730158730158735
uniform_h1024,23,18,93.39622641509433,106,99,1.8867924528301927,-1.8867924528301927
uniform_h1024,23,19,83.4862385321101,109,91,9.174311926605498,-9.174311926605498
uniform_h1024,23,20,73.26732673267327,101,74,12.871287128712865,-12.871287128712865
uniform_h1024,23,21,88.88888888888889,144,128,5.555555555555557,-5.555555555555557
uniform_h1024,23,22,85.0,120,102,6.666666666666671,-6.666666666666671
uniform_h1024,23,23,88.88888888888889,117,104,,
uniform_h1024,24,1,75.42372881355932,118,89,16.101694915254242,-16.101694915254242
uniform_h1024,24,2,93.84615384615384,130,122,2.307692307692321,-2.307692307692321
uniform_h1024,24,3,86.98630136986301,146,127,0.6849315068493098,0.6849315068493098
uniform_h1024,24,4,89.77272727272727,176,158,7.38636363636364,-7.38636363636364
uniform_h1024,24,5,81.25,128,104,12.5,-12.5
uniform_h1024,24,6,86.66666666666667,120,104,0.0,0.0
uniform_h1024,24,7,86.95652173913044,115,100,9.565217391304344,-9.565217391304344
uniform_h1024,24,8,87.96992481203007,133,117,7.5187969924811995,-7.5187969924811995
uniform_h1024,24,9,82.83582089552239,134,111,5.970149253731336,-5.970149253731336
uniform_h1024,24,10,83.33333333333333,138,115,7.971014492753625,-7.971014492753625
uniform_h1024,24,11,83.0,100,83,12.0,-12.0
uniform_h1024,24,12,74.13793103448276,116,86,18.103448275862064,-18.103448275862064
uniform_h1024,24,13,86.61417322834646,127,110,3.937007874015748,-3.937007874015748
uniform_h1024,24,14,88.63636363636364,132,117,5.303030303030297,-5.303030303030297
uniform_h1024,24,15,82.75862068965517,116,96,1.7241379310344769,-1.7241379310344769
uniform_h1024,24,16,76.69172932330827,133,102,12.030075187969928,-12.030075187969928
uniform_h1024,24,17,84.92063492063492,126,107,7.936507936507937,-7.936507936507937
uniform_h1024,24,18,88.67924528301887,106,94,6.603773584905653,-6.603773584905653
uniform_h1024,24,19,86.23853211009174,109,94,6.422018348623851,-6.422018348623851
uniform_h1024,24,20,75.24752475247524,101,76,10.89108910891089,-10.89108910891089
uniform_h1024,24,21,86.11111111111111,144,124,8.333333333333329,-8.333333333333329
uniform_h1024,24,22,85.0,120,102,6.666666666666671,-6.666666666666671
uniform_h1024,24,23,77.77777777777777,117,91,11.111111111111114,-11.111111111111114
uniform_h1024,24,24,88.37209302325581,86,76,,
uniform_h1024,25,1,84.7457627118644,118,100,6.779661016949163,-6.779661016949163
uniform_h1024,25,2,90.76923076923077,130,118,5.384615384615387,-5.384615384615387
uniform_h1024,25,3,86.98630136986301,146,127,0.6849315068493098,0.6849315068493098
uniform_h1024,25,4,91.47727272727273,176,161,5.681818181818173,-5.681818181818173
uniform_h1024,25,5,84.375,128,108,9.375,-9.375
uniform_h1024,25,6,86.66666666666667,120,104,0.0,0.0
uniform_h1024,25,7,87.82608695652173,115,101,8.695652173913047,-8.695652173913047
uniform_h1024,25,8,88.7218045112782,133,118,6.766917293233078,-6.766917293233078
uniform_h1024,25,9,80.59701492537313,134,108,8.208955223880594,-8.208955223880594
uniform_h1024,25,10,85.5072463768116,138,118,5.79710144927536,-5.79710144927536
uniform_h1024,25,11,77.0,100,77,18.0,-18.0
uniform_h1024,25,12,75.86206896551724,116,88,16.379310344827587,-16.379310344827587
uniform_h1024,25,13,85.8267716535433,127,109,4.7244094488189035,-4.7244094488189035
uniform_h1024,25,14,87.87878787878788,132,116,6.060606060606062,-6.060606060606062
uniform_h1024,25,15,81.89655172413794,116,95,2.5862068965517153,-2.5862068965517153
uniform_h1024,25,16,78.19548872180451,133,104,10.526315789473685,-10.526315789473685
uniform_h1024,25,17,87.3015873015873,126,110,5.555555555555557,-5.555555555555557
uniform_h1024,25,18,88.67924528301887,106,94,6.603773584905653,-6.603773584905653
uniform_h1024,25,19,85.3211009174312,109,93,7.339449541284395,-7.339449541284395
uniform_h1024,25,20,77.22772277227723,101,78,8.910891089108901,-8.910891089108901
uniform_h1024,25,21,86.80555555555556,144,125,7.638888888888886,-7.638888888888886
uniform_h1024,25,22,78.33333333333333,120,94,13.333333333333343,-13.333333333333343
uniform_h1024,25,23,80.34188034188034,117,94,8.547008547008545,-8.547008547008545
uniform_h1024,25,24,81.3953488372093,86,70,6.976744186046517,-6.976744186046517
uniform_h1024,25,25,86.15384615384616,65,56,,
uniform_h1024,26,1,83.89830508474576,118,99,7.6271186440678065,-7.6271186440678065
uniform_h1024,26,2,89.23076923076923,130,116,6.923076923076934,-6.923076923076934
uniform_h1024,26,3,82.87671232876713,146,121,4.794520547945197,-3.4246575342465775
uniform_h1024,26,4,89.77272727272727,176,158,7.38636363636364,-7.38636363636364
uniform_h1024,26,5,86.71875,128,111,7.03125,-7.03125
uniform_h1024,26,6,85.83333333333333,120,103,0.8333333333333428,-0.8333333333333428
uniform_h1024,26,7,82.6086956521739,115,95,13.913043478260875,-13.913043478260875
uniform_h1024,26,8,87.96992481203007,133,117,7.5187969924811995,-7.5187969924811995
uniform_h1024,26,9,85.82089552238806,134,115,2.985074626865668,-2.985074626865668
uniform_h1024,26,10,86.23188405797102,138,119,5.072463768115938,-5.072463768115938
uniform_h1024,26,11,79.0,100,79,16.0,-16.0
uniform_h1024,26,12,77.58620689655173,116,90,14.655172413793096,-14.655172413793096
uniform_h1024,26,13,87.4015748031496,127,111,3.149606299212607,-3.149606299212607
uniform_h1024,26,14,84.0909090909091,132,111,9.848484848484844,-9.848484848484844
uniform_h1024,26,15,84.48275862068965,116,98,0.0,0.0
uniform_h1024,26,16,78.19548872180451,133,104,10.526315789473685,-10.526315789473685
uniform_h1024,26,17,84.12698412698413,126,106,8.730158730158735,-8.730158730158735
uniform_h1024,26,18,91.50943396226415,106,97,3.773584905660371,-3.773584905660371
uniform_h1024,26,19,71.55963302752293,109,78,21.100917431192656,-21.100917431192656
uniform_h1024,26,20,77.22772277227723,101,78,8.910891089108901,-8.910891089108901
uniform_h1024,26,21,88.19444444444444,144,127,6.25,-6.25
uniform_h1024,26,22,81.66666666666667,120,98,10.0,-10.0
uniform_h1024,26,23,82.90598290598291,117,97,5.982905982905976,-5.982905982905976
uniform_h1024,26,24,73.25581395348837,86,63,15.116279069767444,-15.116279069767444
uniform_h1024,26,25,76.92307692307692,65,50,9.23076923076924,-9.23076923076924
uniform_h1024,26,26,95.1219512195122,123,117,,
uniform_h1024,27,1,77.11864406779661,118,91,14.406779661016955,-14.406779661016955
uniform_h1024,27,2,90.0,130,117,6.15384615384616,-6.15384615384616
uniform_h1024,27,3,86.98630136986301,146,127,0.6849315068493098,0.6849315068493098
uniform_h1024,27,4,88.63636363636364,176,156,8.522727272727266,-8.522727272727266
uniform_h1024,27,5,85.9375,128,110,7.8125,-7.8125
uniform_h1024,27,6,85.0,120,102,1.6666666666666714,-1.6666666666666714
uniform_h1024,27,7,83.47826086956522,115,96,13.043478260869563,-13.043478260869563
