condition,score_mode,bin,lower,upper,examples,accuracy,confidence
srt_h4096_standard_rho80_unit8,calibrated,1,0.06666666666666667,0.13333333333333333,68,0.11764705882352941,0.10821950349630949
srt_h4096_standard_rho80_unit8,calibrated,2,0.13333333333333333,0.2,223,0.17937219730941703,0.16975702363482525
srt_h4096_standard_rho80_unit8,calibrated,3,0.2,0.26666666666666666,313,0.25559105431309903,0.23464059484865515
srt_h4096_standard_rho80_unit8,calibrated,4,0.26666666666666666,0.3333333333333333,263,0.2965779467680608,0.2988706832836634
srt_h4096_standard_rho80_unit8,calibrated,5,0.3333333333333333,0.4,279,0.46236559139784944,0.3654342765749793
srt_h4096_standard_rho80_unit8,calibrated,6,0.4,0.4666666666666667,238,0.42436974789915966,0.43409725653555264
srt_h4096_standard_rho80_unit8,calibrated,7,0.4666666666666667,0.5333333333333333,272,0.5294117647058824,0.49943866058619607
srt_h4096_standard_rho80_unit8,calibrated,8,0.5333333333333333,0.6,277,0.6245487364620939,0.5673193321740347
srt_h4096_standard_rho80_unit8,calibrated,9,0.6,0.6666666666666666,233,0.6566523605150214,0.6361670184718905
srt_h4096_standard_rho80_unit8,calibrated,10,0.6666666666666666,0.7333333333333333,268,0.7238805970149254,0.6993015254754789
srt_h4096_standard_rho80_unit8,calibrated,11,0.7333333333333333,0.8,299,0.8127090301003345,0.7689863663574926
srt_h4096_standard_rho80_unit8,calibrated,12,0.8,0.8666666666666667,392,0.8469387755102041,0.8345349889642346
srt_h4096_standard_rho80_unit8,calibrated,13,0.8666666666666667,0.9333333333333333,537,0.9087523277467412,0.9025809253590742
srt_h4096_standard_rho80_unit8,calibrated,14,0.9333333333333333,1.0,2337,0.9734702610183996,0.9828408646267058
uniform_h4096_standard_rho80_unit8,raw,0,0.0,0.06666666666666667,1,0.0,0.029368923626266155
uniform_h4096_standard_rho80_unit8,raw,1,0.06666666666666667,0.13333333333333333,7,0.14285714285714285,0.10889788058671727
uniform_h4096_standard_rho80_unit8,raw,2,0.13333333333333333,0.2,50,0.08,0.16733058821906957
uniform_h4096_standard_rho80_unit8,raw,3,0.2,0.26666666666666666,99,0.21212121212121213,0.2361859933368283
uniform_h4096_standard_rho80_unit8,raw,4,0.26666666666666666,0.3333333333333333,110,0.20909090909090908,0.30322949150815476
uniform_h4096_standard_rho80_unit8,raw,5,0.3333333333333333,0.4,127,0.2125984251968504,0.3692536706288579
uniform_h4096_standard_rho80_unit8,raw,6,0.4,0.4666666666666667,124,0.31451612903225806,0.436946119273614
uniform_h4096_standard_rho80_unit8,raw,7,0.4666666666666667,0.5333333333333333,165,0.3939393939393939,0.4995261097959057
uniform_h4096_standard_rho80_unit8,raw,8,0.5333333333333333,0.6,160,0.44375,0.5675044259039144
uniform_h4096_standard_rho80_unit8,raw,9,0.6,0.6666666666666666,153,0.43790849673202614,0.633318464602636
uniform_h4096_standard_rho80_unit8,raw,10,0.6666666666666666,0.7333333333333333,167,0.5389221556886228,0.7014563138020716
uniform_h4096_standard_rho80_unit8,raw,11,0.7333333333333333,0.8,189,0.6031746031746031,0.7689326073806646
uniform_h4096_standard_rho80_unit8,raw,12,0.8,0.8666666666666667,234,0.6282051282051282,0.8339812874858863
uniform_h4096_standard_rho80_unit8,raw,13,0.8666666666666667,0.9333333333333333,330,0.7333333333333333,0.9049491204405424
uniform_h4096_standard_rho80_unit8,raw,14,0.9333333333333333,1.0,4084,0.9657198824681684,0.9929970936992134
uniform_h4096_standard_rho80_unit8,calibrated,0,0.0,0.06666666666666667,3,0.0,0.04054113560996312
uniform_h4096_standard_rho80_unit8,calibrated,1,0.06666666666666667,0.13333333333333333,75,0.16,0.1091049257632321
uniform_h4096_standard_rho80_unit8,calibrated,2,0.13333333333333333,0.2,154,0.19480519480519481,0.1678896905279831
uniform_h4096_standard_rho80_unit8,calibrated,3,0.2,0.26666666666666666,166,0.23493975903614459,0.23450369799141202
uniform_h4096_standard_rho80_unit8,calibrated,4,0.26666666666666666,0.3333333333333333,179,0.2681564245810056,0.2998067726236085
uniform_h4096_standard_rho80_unit8,calibrated,5,0.3333333333333333,0.4,172,0.38372093023255816,0.36692577381346553
uniform_h4096_standard_rho80_unit8,calibrated,6,0.4,0.4666666666666667,183,0.4426229508196721,0.4328433011795458
uniform_h4096_standard_rho80_unit8,calibrated,7,0.4666666666666667,0.5333333333333333,212,0.5235849056603774,0.5005177732280793
uniform_h4096_standard_rho80_unit8,calibrated,8,0.5333333333333333,0.6,168,0.6011904761904762,0.5661764573457619
uniform_h4096_standard_rho80_unit8,calibrated,9,0.6,0.6666666666666666,202,0.6435643564356436,0.633671944890828
uniform_h4096_standard_rho80_unit8,calibrated,10,0.6666666666666666,0.7333333333333333,184,0.7282608695652174,0.7011584993958897
uniform_h4096_standard_rho80_unit8,calibrated,11,0.7333333333333333,0.8,221,0.7737556561085973,0.7680823373773373
uniform_h4096_standard_rho80_unit8,calibrated,12,0.8,0.8666666666666667,279,0.8530465949820788,0.8361304659780212
uniform_h4096_standard_rho80_unit8,calibrated,13,0.8666666666666667,0.9333333333333333,481,0.9043659043659044,0.9030993769962253
uniform_h4096_standard_rho80_unit8,calibrated,14,0.9333333333333333,1.0,3321,0.9813309244203553,0.9880505831529335
srt_h4096_strict_rho80_unit8,raw,0,0.0,0.06666666666666667,1,0.0,0.051583075718521915
srt_h4096_strict_rho80_unit8,raw,1,0.06666666666666667,0.13333333333333333,10,0.0,0.11865512731954123
