condition,metric,kind,previous_quality,lower,upper,count
srt_h1024,clock_gap,current_review,5,8,16.0,8343
srt_h1024,clock_gap,current_review,5,16,32.0,5715
srt_h1024,clock_gap,current_review,5,32,64.0,9871
srt_h1024,clock_gap,current_review,5,64,128.0,1563
srt_h1024,clock_gap,current_review,5,128,256.0,143
srt_h1024,clock_gap,current_review,5,256,512.0,0
srt_h1024,clock_gap,current_review,5,512,1024.0,0
srt_h1024,clock_gap,current_review,5,1024,2048.0,0
srt_h1024,clock_gap,current_review,5,2048,4096.0,0
srt_h1024,clock_gap,current_review,5,4096,8192.0,0
srt_h1024,clock_gap,current_review,5,8192,16384.0,0
srt_h1024,clock_gap,current_review,5,16384,32768.0,0
srt_h1024,clock_gap,current_review,5,32768,65536.0,0
srt_h1024,clock_gap,current_review,5,65536,131072.0,0
srt_h1024,clock_gap,current_review,5,131072,262144.0,0
srt_h1024,clock_gap,current_review,5,262144,524288.0,0
srt_h1024,clock_gap,current_review,5,524288,1048576.0,0
srt_h1024,clock_gap,current_review,5,1048576,2097152.0,0
srt_h1024,clock_gap,current_review,5,2097152,4194304.0,0
srt_h1024,clock_gap,current_review,5,4194304,8388608.0,0
srt_h1024,clock_gap,current_review,5,8388608,16777216.0,0
srt_h1024,clock_gap,current_review,5,16777216,33554432.0,0
srt_h1024,clock_gap,current_review,5,33554432,67108864.0,0
srt_h1024,clock_gap,current_review,5,67108864,134217728.0,0
srt_h1024,clock_gap,current_review,5,134217728,268435456.0,0
srt_h1024,clock_gap,current_review,5,268435456,536870912.0,0
srt_h1024,clock_gap,current_review,5,536870912,1073741824.0,0
srt_h1024,clock_gap,current_review,5,1073741824,2147483648.0,0
srt_h1024,clock_gap,current_review,5,2147483648,4294967296.0,0
srt_h1024,clock_gap,current_review,5,4294967296,8589934592.0,0
srt_h1024,clock_gap,current_review,5,8589934592,17179869184.0,0
srt_h1024,clock_gap,current_review,5,17179869184,34359738368.0,0
srt_h1024,clock_gap,current_review,5,34359738368,68719476736.0,0
srt_h1024,clock_gap,current_review,5,68719476736,137438953472.0,0
srt_h1024,clock_gap,current_review,5,137438953472,274877906944.0,0
srt_h1024,clock_gap,current_review,5,274877906944,549755813888.0,0
srt_h1024,clock_gap,current_review,5,549755813888,1099511627776.0,0
srt_h1024,clock_gap,current_review,5,1099511627776,,0
srt_h1024,clock_gap,current_review,all,0,1.0,0
srt_h1024,clock_gap,current_review,all,1,2.0,0
srt_h1024,clock_gap,current_review,all,2,4.0,0
srt_h1024,clock_gap,current_review,all,4,8.0,0
srt_h1024,clock_gap,current_review,all,8,16.0,26043
srt_h1024,clock_gap,current_review,all,16,32.0,16457
srt_h1024,clock_gap,current_review,all,32,64.0,18813
srt_h1024,clock_gap,current_review,all,64,128.0,3357
srt_h1024,clock_gap,current_review,all,128,256.0,148
srt_h1024,clock_gap,current_review,all,256,512.0,0
srt_h1024,clock_gap,current_review,all,512,1024.0,0
srt_h1024,clock_gap,current_review,all,1024,2048.0,0
srt_h1024,clock_gap,current_review,all,2048,4096.0,0
srt_h1024,clock_gap,current_review,all,4096,8192.0,0
srt_h1024,clock_gap,current_review,all,8192,16384.0,0
srt_h1024,clock_gap,current_review,all,16384,32768.0,0
srt_h1024,clock_gap,current_review,all,32768,65536.0,0
srt_h1024,clock_gap,current_review,all,65536,131072.0,0
srt_h1024,clock_gap,current_review,all,131072,262144.0,0
srt_h1024,clock_gap,current_review,all,262144,524288.0,0
srt_h1024,clock_gap,current_review,all,524288,1048576.0,0
srt_h1024,clock_gap,current_review,all,1048576,2097152.0,0
srt_h1024,clock_gap,current_review,all,2097152,4194304.0,0
srt_h1024,clock_gap,current_review,all,4194304,8388608.0,0
srt_h1024,clock_gap,current_review,all,8388608,16777216.0,0
srt_h1024,clock_gap,current_review,all,16777216,33554432.0,0
srt_h1024,clock_gap,current_review,all,33554432,67108864.0,0
srt_h1024,clock_gap,current_review,all,67108864,134217728.0,0
srt_h1024,clock_gap,current_review,all,134217728,268435456.0,0
srt_h1024,clock_gap,current_review,all,268435456,536870912.0,0
srt_h1024,clock_gap,current_review,all,536870912,1073741824.0,0
srt_h1024,clock_gap,current_review,all,1073741824,2147483648.0,0
srt_h1024,clock_gap,current_review,all,2147483648,4294967296.0,0
srt_h1024,clock_gap,current_review,all,4294967296,8589934592.0,0
srt_h1024,clock_gap,current_review,all,8589934592,17179869184.0,0
srt_h1024,clock_gap,current_review,all,17179869184,34359738368.0,0
srt_h1024,clock_gap,current_review,all,34359738368,68719476736.0,0
srt_h1024,clock_gap,current_review,all,68719476736,137438953472.0,0
srt_h1024,clock_gap,current_review,all,137438953472,274877906944.0,0
srt_h1024,clock_gap,current_review,all,274877906944,549755813888.0,0
srt_h1024,clock_gap,current_review,all,549755813888,1099511627776.0,0
srt_h1024,clock_gap,current_review,all,1099511627776,,0
srt_h1024,clock_gap,historical,0,0,1.0,0
srt_h1024,clock_gap,historical,0,1,2.0,0
srt_h1024,clock_gap,historical,0,2,4.0,0
srt_h1024,clock_gap,historical,0,4,8.0,0
srt_h1024,clock_gap,historical,0,8,16.0,6214
srt_h1024,clock_gap,historical,0,16,32.0,3842
srt_h1024,clock_gap,historical,0,32,64.0,5021
srt_h1024,clock_gap,historical,0,64,128.0,6042
srt_h1024,clock_gap,historical,0,128,256.0,5948
srt_h1024,clock_gap,historical,0,256,512.0,3803
srt_h1024,clock_gap,historical,0,512,1024.0,1180
srt_h1024,clock_gap,historical,0,1024,2048.0,70
srt_h1024,clock_gap,historical,0,2048,4096.0,0
srt_h1024,clock_gap,historical,0,4096,8192.0,0
srt_h1024,clock_gap,historical,0,8192,16384.0,0
srt_h1024,clock_gap,historical,0,16384,32768.0,0
srt_h1024,clock_gap,historical,0,32768,65536.0,0
srt_h1024,clock_gap,historical,0,65536,131072.0,0
srt_h1024,clock_gap,historical,0,131072,262144.0,0
srt_h1024,clock_gap,historical,0,262144,524288.0,0
srt_h1024,clock_gap,historical,0,524288,1048576.0,0
srt_h1024,clock_gap,historical,0,1048576,2097152.0,0
srt_h1024,clock_gap,historical,0,2097152,4194304.0,0
srt_h1024,clock_gap,historical,0,4194304,8388608.0,0
srt_h1024,clock_gap,historical,0,8388608,16777216.0,0
srt_h1024,clock_gap,historical,0,16777216,33554432.0,0
srt_h1024,clock_gap,historical,0,33554432,67108864.0,0
srt_h1024,clock_gap,historical,0,67108864,134217728.0,0
srt_h1024,clock_gap,historical,0,134217728,268435456.0,0
srt_h1024,clock_gap,historical,0,268435456,536870912.0,0
srt_h1024,clock_gap,historical,0,536870912,1073741824.0,0
srt_h1024,clock_gap,historical,0,1073741824,2147483648.0,0
srt_h1024,clock_gap,historical,0,2147483648,4294967296.0,0
srt_h1024,clock_gap,historical,0,4294967296,8589934592.0,0
srt_h1024,clock_gap,historical,0,8589934592,17179869184.0,0
srt_h1024,clock_gap,historical,0,17179869184,34359738368.0,0
srt_h1024,clock_gap,historical,0,34359738368,68719476736.0,0
srt_h1024,clock_gap,historical,0,68719476736,137438953472.0,0
srt_h1024,clock_gap,historical,0,137438953472,274877906944.0,0
srt_h1024,clock_gap,historical,0,274877906944,549755813888.0,0
srt_h1024,clock_gap,historical,0,549755813888,1099511627776.0,0
srt_h1024,clock_gap,historical,0,1099511627776,,0
srt_h1024,clock_gap,historical,1,0,1.0,0
srt_h1024,clock_gap,historical,1,1,2.0,0
srt_h1024,clock_gap,historical,1,2,4.0,0
srt_h1024,clock_gap,historical,1,4,8.0,0
srt_h1024,clock_gap,historical,1,8,16.0,2950
srt_h1024,clock_gap,historical,1,16,32.0,2070
srt_h1024,clock_gap,historical,1,32,64.0,2634
srt_h1024,clock_gap,historical,1,64,128.0,2993
srt_h1024,clock_gap,historical,1,128,256.0,2781
