job,seed,phase,epoch,lora_learning_rate,head_learning_rate,training_accuracy,training_nll,training_presentations,optimizer_steps,training_batch_wall_seconds,evaluation_wall_seconds,fit_probe_accuracy,fit_probe_nll,validation_accuracy,validation_nll,stale_epochs,rate_reductions,model_sha256,epoch_hash
development,1993,development,33,2.0000000000000005e-05,0.0004000000000000001,89.15625,0.44960115710894266,19200,300,50.08770334906876,16.583780020475388,99.609375,0.02357845510604963,76.8125,1.195606751923559,6,2,8807b23e85c57d15c816606476ccd2f585596471127dd79e232c3f0e8a135e55,50221164bb8e34ab0686b142ebde8ab910a01f0eacd45f2901901336ec596089
development,1993,development,34,2.0000000000000005e-05,0.0004000000000000001,89.0625,0.4637126641968886,19200,300,50.25111970491707,15.162002297118306,99.609375,0.023344938599915974,76.89583333333333,1.1828907416040428,7,2,075870c7d2ba7645a36d5d3c6229ffb4b875df54fcb9b685e535d07856b4b959,71e3ba17f67d5cb018129f168ef30f118bba9520468a14b7a506b83ee18b6db7
development,1993,development,35,2.0000000000000005e-05,0.0004000000000000001,89.140625,0.4495998734484116,19200,300,56.485161585733294,16.79540478810668,99.609375,0.02334436362619567,76.83333333333333,1.1863373622379265,0,3,db5533c4168c871ebb422a073265bfca5fdc516b6903903a7f5d39b70ba8d063,e5917bcb1a938f7c7c46e087260f4e588024473b9477330f4f158f7b98bdf0d2
development,1993,development,36,4.000000000000001e-06,8.000000000000002e-05,89.01041666666667,0.46305863549311954,19200,300,54.56638510711491,16.23490193299949,99.609375,0.023203574292213123,76.79166666666667,1.1864837572517652,1,3,3bb6db060d071a401f56e69929982f197a829c5b8738d5299ce03083fad53336,c2ff740d8710e488e6a2ce2f9dc5d887a32f7615709f867f740e0b74699bc6f7
development,1993,development,37,4.000000000000001e-06,8.000000000000002e-05,89.484375,0.4383928658813238,19200,300,56.789124408736825,16.61069504544139,99.609375,0.02317937530655326,76.66666666666667,1.188114444726275,2,3,89d92708414036caf9da4e109fdd4f7fc58a3213a06b2cadfe053bb723cad6c8,9c336997a7ef1698882aebd899ed5f8c54e8e725459a9cc20184bfaecaec3419
development,1993,development,38,4.000000000000001e-06,8.000000000000002e-05,89.43229166666667,0.4507649090637763,19200,300,55.63315119035542,16.357057195156813,99.609375,0.023094662153937913,76.75,1.186555004272906,3,3,83edf523e23cc8cd09958533c0e31c97cfe4849acd2b4980772c462572581b60,d64689e335724f117fc4811a95a961eb5bed03b7da8b39ddf442e68266205bec
development,1993,development,39,4.000000000000001e-06,8.000000000000002e-05,89.26041666666667,0.456810447772344,19200,300,56.8094266820699,16.568406963720918,99.609375,0.022909422488765888,76.70833333333333,1.187064861414379,4,3,2b2a93fca1282c097a38501d741778ad9061ecb6aada39cec8760f6c4008a160,d08e09563ea0bea8d43499a44e52c6a896f24f90c65795f42d9c0ae2b5740ced
development,1993,development,40,4.000000000000001e-06,8.000000000000002e-05,89.22916666666667,0.4550022463252147,19200,300,55.75263015925884,16.68822743371129,99.609375,0.022625131041397142,76.75,1.1858210748076827,5,3,72e4df0d6ab62c7fec9ee1689aaa9190043e015f2b40f8cbf1f7fd99811b7de3,48c6e01d3d475e0cbbd011d17a4d922fb898a331180736dc06d37f991491ef25
development,1993,development,41,4.000000000000001e-06,8.000000000000002e-05,89.421875,0.43830671802163124,19200,300,56.11285349354148,16.217865338549018,99.609375,0.02269831609910152,76.66666666666667,1.1882748677116162,6,3,0a5e62cfceb03ca309b46e9c0a755fb6fb71e817d16b14cf521ba44548810c0e,55ab7b45d9acfe1109b0b09ad1f89d784b6abfc340a97fa2b314ffe39143c096
development,1993,development,42,4.000000000000001e-06,8.000000000000002e-05,89.16666666666667,0.4604467447598775,19200,300,55.41945926472545,16.730648916214705,99.609375,0.02261499204758404,76.6875,1.1872394880924615,7,3,c872cb40ad8df3123277dc610ab726ddb993fe4b3a3a918810eaefb62189ff92,66c41ea5c79537e93a19400ee7a5bcf6cfca503d7981e4946c63b131a6b08451
development,1993,development,43,4.000000000000001e-06,8.000000000000002e-05,89.09895833333333,0.4494526651501656,19200,300,56.597812723368406,16.60159763135016,99.609375,0.02259935640346316,76.6875,1.1879391377060018,8,3,521d2370d00559bf2b6641ed9cc03de63f4c296d97423d712fc6cff33384047c,269f3f15aecbaee0de468f22c88d953f1ab2b5964618d4f7d626741096227b38
development,1993,development,44,4.000000000000001e-06,8.000000000000002e-05,89.02604166666667,0.456383755505085,19200,300,55.734021281823516,16.780771112069488,99.609375,0.022636263602861553,76.66666666666667,1.1858657454989596,9,3,ce7ac8e6be5c521d24c922603dd18af652795f5f88c6116c61de5476a3294173,843ef517d898d12024de17d4e44507b150ec58e4f940a8d92c2f394e7fff65dd
development,1993,development,45,4.000000000000001e-06,8.000000000000002e-05,89.3125,0.4508800160884857,19200,300,57.07974045909941,16.854353547096252,99.609375,0.022641746044827032,76.70833333333333,1.1865085307805037,10,3,acb59fe6bca9ce1f1f2d45bed204841dc8ba91986649fa7b23b697644c97089a,008a0a9d3a983635477024dee99ce2362817a95167e0b648af1f01c429584c8a
