condition,image_id,image,arrival_stage,stage,exposure,kind,step,presentations,clock,confidence,quality,previous_quality,step_gap,presentation_gap,stage_gap,clock_gap,due_before,lateness,ease_before,ease_after,successes_before,successes_after,interval_before,interval_after,due_after,stage_position
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,6,26,historical,697,44006,697,0.9997711777687073,5.0,5.0,39.0,2496.0,0.0,39,664,33,1.5,1.6,2.0,3.0,6,10,707,5.883495145631068
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,6,33,historical,710,44838,710,0.04466727003455162,0.0,4.0,36.0,2304.0,0.0,36,688,22,1.5,1.3,4.0,0.0,14,1,711,5.946601941747573
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,6,34,historical,714,45094,714,0.8572048544883728,4.0,0.0,4.0,256.0,0.0,4,711,3,1.3,1.3,0.0,1.0,1,1,715,5.966019417475728
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,7,27,historical,759,47877,759,0.9980783462524414,5.0,5.0,62.0,3871.0,1.0,62,707,52,1.6,1.7,3.0,4.0,10,17,776,6.1617021276595745
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,7,35,historical,764,48197,764,0.8904893398284912,4.0,4.0,50.0,3103.0,1.0,50,715,49,1.3,1.3,1.0,2.0,1,6,770,6.182978723404255
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,7,28,historical,776,48965,776,0.999273419380188,5.0,5.0,17.0,1088.0,0.0,17,776,0,1.7,1.8,4.0,5.0,17,31,807,6.23404255319149
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,7,36,historical,781,49285,781,0.9426555037498474,4.0,4.0,17.0,1088.0,0.0,17,770,11,1.3,1.3,2.0,3.0,6,8,789,6.25531914893617
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,7,37,historical,839,52997,839,0.9895830750465393,5.0,4.0,58.0,3712.0,0.0,58,789,50,1.3,1.4,3.0,4.0,8,12,851,6.502127659574468
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,7,38,historical,863,54533,863,0.9972137808799744,5.0,5.0,24.0,1536.0,0.0,24,851,12,1.4,1.5,4.0,5.0,12,18,881,6.604255319148936
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,7,39,historical,889,56197,889,0.8257051110267639,3.0,5.0,26.0,1664.0,0.0,26,881,8,1.5,1.36,5.0,6.0,18,25,914,6.714893617021277
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,7,29,historical,914,57797,914,0.9992104768753052,5.0,5.0,138.0,8832.0,0.0,138,807,107,1.8,1.9,5.0,6.0,31,59,973,6.821276595744681
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,7,40,historical,918,58053,918,0.9729739427566528,5.0,3.0,29.0,1856.0,0.0,29,914,4,1.36,1.46,6.0,7.0,25,37,955,6.8382978723404255
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,8,41,historical,983,62135,983,0.9761449694633484,5.0,5.0,65.0,4082.0,1.0,65,955,28,1.46,1.56,7.0,8.0,37,58,1041,7.100746268656716
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,8,30,historical,1038,65655,1038,0.9990209341049194,5.0,5.0,124.0,7858.0,1.0,124,973,65,1.9,2.0,6.0,7.0,59,118,1156,7.3059701492537314
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,8,42,historical,1051,66487,1051,0.9995133876800537,5.0,5.0,68.0,4352.0,0.0,68,1041,10,1.56,1.66,8.0,9.0,58,97,1148,7.354477611940299
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,8,43,historical,1162,73591,1162,0.9896155595779419,5.0,5.0,111.0,7104.0,0.0,111,1148,14,1.66,1.76,9.0,10.0,97,171,1333,7.768656716417911
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,8,31,historical,1174,74359,1174,0.9900255799293518,5.0,5.0,136.0,8704.0,0.0,136,1156,18,2.0,2.1,7.0,8.0,118,248,1422,7.813432835820896
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,9,44,historical,1396,88501,1396,0.9898027777671814,5.0,5.0,234.0,14910.0,1.0,234,1333,63,1.76,1.86,10.0,11.0,171,319,1715,8.593103448275862
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,9,32,historical,1438,91189,1438,0.9985552430152893,5.0,5.0,264.0,16830.0,1.0,264,1422,16,2.1,2.2,8.0,9.0,248,546,1984,8.73793103448276
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,10,45,historical,1736,110219,1736,0.9987362027168274,5.0,5.0,340.0,21718.0,1.0,340,1715,21,1.86,1.96,11.0,12.0,319,626,2362,9.762886597938145
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,11,33,historical,1990,126399,1990,0.9885313510894775,5.0,5.0,552.0,35210.0,2.0,552,1984,6,2.2,2.3,9.0,10.0,546,1256,3246,10.656028368794326
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,13,46,historical,2382,151379,2382,0.9918602705001831,5.0,5.0,646.0,41160.0,3.0,646,2362,20,1.96,2.06,12.0,13.0,626,1290,3672,12.03125
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,1,introduction,3241,206220,3241,0.08647298812866211,0.0,,,,,,,,2.5,1.7,0.0,0.0,0,1,3242,15.013793103448275
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,16,1,introduction,3242,206284,3242,0.04929237440228462,0.0,,,,,,,,2.5,1.7,0.0,0.0,0,1,3243,15.017241379310345
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,2,current_review,3249,206685,3249,1.0,5.0,0.0,8.0,465.0,0.0,8,3242,7,1.7,1.8,0.0,1.0,1,1,3250,15.041379310344828
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,3,current_review,3251,206813,3251,0.638227105140686,2.0,5.0,2.0,128.0,0.0,2,3250,1,1.8,1.48,1.0,0.0,1,1,3252,15.048275862068966
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,16,2,current_review,3267,207837,3267,0.9999262690544128,5.0,0.0,25.0,1553.0,0.0,25,3243,24,1.7,1.8,0.0,1.0,1,1,3268,15.10344827586207
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,4,current_review,3267,207837,3267,1.0,5.0,2.0,16.0,1024.0,0.0,16,3252,15,1.48,1.58,0.0,1.0,1,1,3268,15.10344827586207
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,16,3,current_review,3269,207965,3269,0.9962819814682007,5.0,5.0,2.0,128.0,0.0,2,3268,1,1.8,1.9,1.0,2.0,1,6,3275,15.110344827586207
