effective_batch_size,epoch,family,gradient_norm_mean,image_presentations,learning_rate,optimizer_steps,peak_learning_rate,role,schedule,seed,train_objective_accuracy,train_objective_nll,validation_accuracy,validation_nll,wall_seconds
512,15,macro,0.07766986917704344,182910,0.0003,360,0.0003,legacy_control,legacy_constant,1993,99.87698868295884,0.006379722014047561,76.74647425385372,1.1153741112768787,534.8726347088814
512,16,macro,0.07736231460391234,195104,0.0003,384,0.0003,legacy_control,legacy_constant,1993,99.86878792848943,0.005220874872719125,76.61528369957362,1.1245666934295184,569.9089815933257
512,17,macro,0.07924484325728069,207298,0.0003,408,0.0003,legacy_control,legacy_constant,1993,99.87698868295884,0.005383287255091806,77.04165300098393,1.1212202655795989,604.9055521041155
512,18,macro,0.062069843406789005,219492,0.0003,432,0.0003,legacy_control,legacy_constant,1993,99.90159094636707,0.004161210828126992,76.74647425385372,1.133115667716602,640.0966268051416
512,19,macro,0.07138893695082515,231686,0.0003,456,0.0003,legacy_control,legacy_constant,1993,99.89339019189765,0.005267746823526551,76.68087897671367,1.1375342031587106,675.60785394907
512,20,macro,0.06291897761790703,243880,0.0003,480,0.0003,legacy_control,legacy_constant,1993,99.89339019189765,0.0040684179515159775,77.14004591669399,1.1246877878601333,710.6656380258501
64,1,macro,10.356547535401988,12194,1.198744769874477e-05,191,3e-05,screening,warmup_cosine,1993,4.715433819911432,5.0405357527267505,17.054772056411938,4.011991316312725,33.10060043632984
64,2,macro,9.000531046802461,24388,2.397489539748954e-05,382,3e-05,screening,warmup_cosine,1993,41.16778743644415,2.8672037961464625,57.0022958346999,2.020304238534279,66.71545485593379
64,3,macro,7.388621143021509,36582,2.9992131295810863e-05,573,3e-05,screening,warmup_cosine,1993,67.95145153354109,1.4669007887424983,67.95670711708757,1.4002750130237693,99.96216677874327
64,4,macro,6.369355031957177,48776,2.992771919828529e-05,764,3e-05,screening,warmup_cosine,1993,79.3997047728391,0.9263543641545723,71.26926861265989,1.2295169949179674,133.41975433006883
64,5,macro,5.589114694695198,60970,2.9798666529598673e-05,955,3e-05,screening,warmup_cosine,1993,86.32934229949156,0.627247476100687,73.26992456543128,1.1396874502550465,167.053121432662
64,6,macro,4.8499722306016855,73164,2.960553779081519e-05,1146,3e-05,screening,warmup_cosine,1993,91.34000328030179,0.42549078046483685,74.05706789111184,1.1104698506446304,200.49290545657277
64,7,macro,4.061411222862324,85358,2.934917776398917e-05,1337,3e-05,screening,warmup_cosine,1993,95.39117598819091,0.2812722093730124,74.48343719252213,1.0903440396017072,233.64366584643722
64,8,macro,3.1987889808509986,97552,2.903070781692674e-05,1528,3e-05,screening,warmup_cosine,1993,97.83500082007545,0.17829882561896537,74.4178419153821,1.0962010036729992,267.4574173036963
64,9,macro,2.3563602243730535,109746,2.865152099810848e-05,1719,3e-05,screening,warmup_cosine,1993,99.02411021814007,0.1096253907639452,74.54903246966218,1.096028297601977,300.80081469006836
64,10,macro,1.6760973204804965,121940,2.821327594322887e-05,1910,3e-05,screening,warmup_cosine,1993,99.61456453993767,0.06705248588535734,74.94260413250245,1.1075633578552266,334.2926883585751
64,11,macro,1.1178741857643526,134134,2.771788962000639e-05,2101,3e-05,screening,warmup_cosine,1993,99.79498113826472,0.040974307562731245,75.4345687110528,1.107918497537855,367.9148208796978
64,12,macro,0.721038349479905,146328,2.7167528942999975e-05,2292,3e-05,screening,warmup_cosine,1993,99.83598491061177,0.02566450938878146,75.36897343391276,1.1138040962356863,401.67635202780366
64,13,macro,0.5468447316457464,158522,2.6564601295110107e-05,2483,3e-05,screening,warmup_cosine,1993,99.86878792848943,0.018887710293648927,75.69694981961298,1.115077629602319,435.6907998006791
64,14,macro,0.40928935177663234,170716,2.591174399722545e-05,2674,3e-05,screening,warmup_cosine,1993,99.88518943742824,0.014691715809836317,75.4345687110528,1.1261333491849914,468.66784491203725
