condition,learned_permutation_count,active_node_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
integrator_uniform_replay,16,1,0.806884765625,0.8616979718208313,512,256,256,4,0.09819167107343674,0.0,0.0029935892671346664,0.022919051349163055,0.07227903045713902,2560,512,2048,2048,2,32,16,1024,4096,4096,4096
full_replay_integrator_20_epochs,16,1,0.808837890625,0.6642577648162842,4096,4096,0,20,1.8539004921913147,0.030324365943670273,0.002270147204399109,0.051440607756376266,1.769865371286869,86016,4096,81920,81920,2,640,640,8192,4096,4096,4096
integrator_uniform_replay,17,2,0.7545955777168274,0.9826546907424927,512,256,256,4,0.10256652534008026,0.0,0.003565588966012001,0.033751167356967926,0.06524976901710033,3072,1024,2048,2048,4,32,16,1024,4352,8704,4352
integrator_uniform_replay,18,2,0.7374131679534912,0.9987666010856628,512,256,256,4,0.09980146214365959,0.0,0.0035552196204662323,0.033914562314748764,0.062331680208444595,3072,1024,2048,2048,4,32,16,1024,4608,9216,4608
integrator_uniform_replay,19,3,0.7401315569877625,0.980915367603302,512,256,256,4,0.12384571135044098,0.0,0.004099501296877861,0.046891652047634125,0.072854558005929,3584,1536,2048,2048,6,32,16,1024,4864,14592,4864
integrator_uniform_replay,20,2,0.754687488079071,1.0148648023605347,512,256,256,4,0.11551682464778423,0.0,0.004360128194093704,0.038158658891916275,0.07299803756177425,3072,1024,2048,2048,4,32,16,1024,5120,10240,5120
integrator_uniform_replay,21,3,0.7442336082458496,0.9974555969238281,512,256,256,4,0.12755536288022995,0.0,0.004620380699634552,0.04798070527613163,0.07495427690446377,3584,1536,2048,2048,6,32,16,1024,5376,16128,5376
integrator_uniform_replay,22,3,0.7368608117103577,1.0150471925735474,512,256,256,4,0.11705599166452885,0.0,0.0036170557141304016,0.04663320071995258,0.06680573523044586,3584,1536,2048,2048,6,32,16,1024,5632,16896,5632
integrator_uniform_replay,23,4,0.7275815010070801,1.0060499906539917,512,256,256,4,0.13284129463136196,0.0,0.004326697438955307,0.05649350583553314,0.07202109135687351,4096,2048,2048,2048,8,32,16,1024,5888,23552,5888
integrator_uniform_replay,24,2,0.76220703125,0.9422219395637512,512,256,256,4,0.10378186777234077,0.0,0.004564264789223671,0.03538977541029453,0.06382782757282257,3072,1024,2048,2048,4,32,16,1024,6144,12288,6144
