accuracy_kind,condition,full_oracle_agreement,full_route_accuracy,full_suffix_story_nll,full_suffix_token_nll,full_whole_story_nll,full_whole_token_nll,label,mean_full_margin,midpoint_full_agreement,midpoint_oracle_agreement,midpoint_route_accuracy,midpoint_selected_whole_story_nll,midpoint_selected_whole_token_nll,midpoint_suffix_story_nll,midpoint_suffix_token_nll,oracle_suffix_story_nll,oracle_suffix_token_nll,route_accuracy_change_pp,story_count,suffix_gap_recovered_fraction,suffix_story_nll_change,task_id
noun_support,blocked_log_t,0.6875,0.85,1.6451596264628705,1.6866780907871946,1.5474007818264286,1.5711965559668466,Blocked log-t,0.06514246319622943,0.76875,0.5125,0.7125,1.560599154635612,1.5827515721393257,1.6782503430456548,1.7154646791986026,1.635459229281453,1.6760550856719207,13.750000000000002,160,0.7733081397490355,-0.033090716582784285,lion
noun_support,blocked_log_t,0.7218934911242604,0.8165680473372781,1.6325973560817078,1.6524183201297482,1.52856212394293,1.5325024605185886,Blocked log-t,0.05227718443626921,0.47337278106508873,0.2781065088757396,0.4260355029585799,1.5672593215382278,1.5680334331192982,1.7308849484712414,1.7428948436776988,1.6257851709612916,1.6458925524423913,39.053254437869825,169,0.9351836389970356,-0.09828759238953366,fairy
noun_support,blocked_log_t,0.6312056737588653,0.8297872340425532,1.694299945514611,1.6855160357324501,1.6767337283488517,1.6530351288883862,Blocked log-t,0.084260652820643,0.8794326241134752,0.5390070921985816,0.8014184397163121,1.6802249852551243,1.656465202423535,1.7052043910836778,1.6959783947042113,1.6831758542542306,1.6739110604836522,2.8368794326241136,141,0.49501451927982565,-0.010904445569066779,train
noun_support,blocked_log_t,0.6410256410256411,0.9743589743589743,1.3092916263382064,1.3741073453151542,1.287830657348616,1.348389057591453,Blocked log-t,0.32339832363817517,0.9230769230769231,0.5811965811965812,0.9145299145299145,1.2985177144657192,1.35943898175638,1.3325939839779157,1.397202368796831,1.2932658824638312,1.358610048227696,5.982905982905983,117,0.5925116327154543,-0.023302357639709337,cow
noun_support,blocked_log_t,0.5869565217391305,0.8695652173913043,1.374124032484271,1.4366763811359857,1.334779194027341,1.368412614275744,Blocked log-t,0.11134342939092887,0.782608695652174,0.4057971014492754,0.7898550724637681,1.3464762411919293,1.3785454530701269,1.402694003511171,1.4613994476463292,1.3602574077602059,1.4242135528834312,7.971014492753622,138,0.6732389938759471,-0.028569971026900065,wheel
noun_support,blocked_log_t,0.43478260869565216,0.7478260869565218,1.4241750471086319,1.461050997576433,1.4120785176231685,1.4336470633747795,Blocked log-t,0.05358857420493126,0.8347826086956521,0.33043478260869563,0.7739130434782608,1.4162702381344507,1.4372939679749865,1.435965049345014,1.4718568581502338,1.4073742603772064,1.445439406963096,-2.608695652173913,115,0.41237065019987174,-0.011790002236382158,monkey
noun_support,blocked_log_t,0.5609756097560976,0.6829268292682927,1.7006766870575258,1.6958514719066933,1.6395324443868908,1.6237250859998535,Blocked log-t,0.030318993673862364,0.6341463414634146,0.2804878048780488,0.5487804878048781,1.647154266899563,1.6304898304413749,1.7282913606939527,1.7210582766285898,1.6872489267337714,1.6840534536561278,13.414634146341465,82,0.672832260952607,-0.02761467363642689,princess
noun_support,blocked_log_t,0.5851063829787234,0.7659574468085106,1.6816132175530412,1.672550408811008,1.6210894911222875,1.612557654576082,Blocked log-t,0.06504256441766659,0.8085106382978723,0.43617021276595747,0.8404255319148937,1.6249284770101706,1.6162971852928205,1.6956763951422575,1.6865042882142518,1.6700090784041293,1.6612912490775826,-7.446808510638298,94,0.5479021330003622,-0.01406317758921638,plane
noun_support,blocked_log_t,0.4639175257731959,0.7422680412371134,1.4465232192761317,1.4742052789011202,1.441834296971464,1.456619740913602,Blocked log-t,0.06808086961237401,0.7628865979381443,0.27835051546391754,0.6597938144329897,1.4565631760750237,1.471642401731331,1.4835106671050295,1.5121604841959888,1.4287576071855743,1.4568447584318178,8.24742268041237,97,0.675532068587736,-0.036987447828897846,elephant
noun_support,blocked_log_t,0.625,0.7272727272727273,1.528982059380187,1.5885483106858704,1.4659664044484642,1.4941965516632407,Blocked log-t,0.04285241954996648,0.6022727272727273,0.2840909090909091,0.5,1.484808231557991,1.5108483159481907,1.5802955108718935,1.6348078008615408,1.515574528326601,1.5769173193230808,22.727272727272727,88,0.7928410458817834,-0.05131345149170641,neighbor
