stage,live_nodes,rank_matched_joint_rank,persistent_affine_h4096_accuracy,persistent_affine_h4096_nll,persistent_affine_h8192_accuracy,persistent_affine_h8192_nll,stage_matched_joint_rank16_accuracy,rank_matched_joint_accuracy,rank_matched_joint_nll,h4096_gap_to_stage_joint,h8192_gap_to_stage_joint,h4096_gap_to_rank_joint,h8192_gap_to_rank_joint,h4096_true_node_oracle_accuracy,h8192_true_node_oracle_accuracy
23,4,64,80.10398613518197,0.9592029607895135,81.38648180242635,0.9273475782503495,81.80242776870728,83.4315424610052,0.6796687069963955,-1.6984416335253059,-0.4159459662809297,-3.327556325823224,-2.045060658578848,87.76429809358753,86.4471403812825
24,2,32,80.41063614944463,0.9183358565118328,82.09357118815214,0.8963984441612755,80.9491753578186,81.72332547963649,0.7468752872257752,-0.538539208373976,1.1443958303335364,-1.3126893301918585,0.37024570851565386,84.85358465163245,85.3584651632447
25,3,48,81.48880105401845,0.8543299548082515,81.12648221343873,0.9493653978440758,80.63241243362427,82.18050065876153,0.7482739374414578,0.8563886203941848,0.49406977981446687,-0.6916996047430786,-1.0540184453227965,85.90250329380764,85.44137022397892
26,3,48,80.69009180120291,0.8917483794383514,79.80373535929091,1.0151719331514915,80.43684959411621,81.95631528964863,0.7274862405958716,0.2532422070867,-0.6331142348252996,-1.2662234884457177,-2.1525799303577173,85.75498575498575,84.99525166191833
27,4,64,79.61491442542787,0.946579249097549,79.21760391198045,1.0590037958546197,80.25672435760498,82.30440097799512,0.7453499628745548,-0.6418099321771109,-1.0391204456245333,-2.689486552567246,-3.086797066014668,85.42176039119805,84.71882640586797
28,3,48,79.78660343805572,0.9661791473008785,78.80853586247777,1.0881446517284057,79.9051582813263,81.68346176644931,0.7554198560731681,-0.11855484327057297,-1.0966224188485256,-1.8968583283935914,-2.874925903971544,85.59573206876111,85.00296384113811
29,4,64,79.38646788990826,0.9707554524097968,77.9243119266055,1.153017047895204,79.75917458534241,81.25,0.7771756052970886,-0.3727066954341467,-1.8348626587369097,-1.8635321100917395,-3.3256880733945025,85.89449541284404,84.74770642201835
30,4,64,77.33657482441923,1.1032836276218738,77.20151269584008,1.196626465363093,80.49702644348145,82.03673689897353,0.7478868050680877,-3.160451619062215,-3.2955137476413654,-4.700162074554299,-4.83522420313345,86.06158833063209,84.62992976769314
31,5,80,77.51572327044025,1.0906763386676397,78.03983228511531,1.1974802557027564,80.2935004234314,82.10167714884696,0.7719640511886628,-2.777777152991149,-2.253668138316087,-4.585953878406713,-4.06184486373165,85.63941299790356,85.16771488469601
32,1,16,78.69354427149783,0.9810787224288984,81.19418218933401,0.8662468875418758,80.27558326721191,80.27558326721191,,-1.5820389957140861,0.9185989221221007,-1.5820389957140861,0.9185989221221007,78.84664455218167,81.4748660372544
33,2,32,80.24813895781638,1.00411069079605,80.64516129032258,0.9244265232133511,80.14888167381287,80.86848635235732,0.8102663106421383,0.09925728400351375,0.4962796165097103,-0.6203473945409428,-0.22332506203474622,80.47146401985111,81.24069478908189
34,2,32,80.41463414634147,0.948195481765561,80.5609756097561,0.9439926701057249,80.2195131778717,80.92682926829268,0.8105355277875574,0.1951209684697659,0.34146243188439485,-0.5121951219512084,-0.3658536585365795,81.48780487804878,81.0
35,3,48,80.14619193586418,0.9419284551611938,80.54704079226597,0.9462913147994466,80.00471591949463,80.8771516151851,0.8077230320817821,0.14147601636955187,0.5423248727713457,-0.7309596793209181,-0.3301108229191243,82.17401556236737,82.26833294034425
36,2,32,79.79522184300342,1.0066928064999456,80.45506257110353,0.9376857588315579,79.74971532821655,80.18202502844142,0.8092241254682834,0.04550651478686518,0.7053472428869725,-0.38680318543799785,0.27303754266210944,82.07053469852104,82.25255972696246
37,3,48,79.94288224956064,0.9608702181931749,79.50351493848858,1.014986158883844,79.96485233306885,81.10720562390158,0.8139342373410512,-0.02197008350820795,-0.46133739458026923,-1.1643233743409382,-1.6036906854129995,82.64499121265378,82.68892794376099
