policy_hash,node_id,level,start_arrival,end_arrival,within_task,merge_method,repair_fraction,retained_energy_mean,child_cosine_mean,merge_damage,postrepair_damage,repair_recovery,core_dimension_max,repair_examples,repair_tokens,repair_steps,repair_wall_seconds,merge_wall_seconds,merge_config_hash
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,c68ad33b3997eab723aab56e71bc046d278b975179df40ce2414b056a355dbd3,1,13,14,True,svd_mean_r8,0.0,0.9440335154793923,0.11254589684805846,-0.04516254272311926,-0.04516254272311926,0.0,0,0,0,0,0.0,0.39807700365781784,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,d05fcbfaa1c7f3d9d2321ceacda63a16df1ea8715457f64da340d3ec70d270b7,3,25,32,False,svd_mean_r8,0.0,0.9210428861882012,0.16441683427917914,-0.009944188447359004,-0.009944188447359004,0.0,0,0,0,0,0.0,0.40257804095745087,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,d78a48be60f03de3d98576874509787b2d6b86f7d6fb77a9dfbd6c3541a9493e,1,5,6,False,svd_mean_r8,0.0,0.9272551527964988,0.009018642333188673,-0.09575587726430967,-0.09575587726430967,0.0,0,0,0,0,0.0,0.40131776034832,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,dc4958ca640784e24adedf85bf25fbc4472926133226bba116da1a21e53f73eb,2,1,4,True,svd_mean_r8,0.0,0.9381199409539449,0.1127531253549943,0.08489138190634549,0.08489138190634549,0.0,0,0,0,0,0.0,0.39659222960472107,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,dd7f0228d04beca2a9eb661c4df5a04f10d63006ae1c363bfe1f4b56bdce470f,1,21,22,True,svd_mean_r8,0.0,0.9004564283151031,0.055026707255667176,0.010167993605136871,0.010167993605136871,0.0,0,0,0,0,0.0,0.4155746456235647,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,dd802562e95d2e17cbf51e08bd92c703cc4d96dfd390f0e59d95b4c5b59733c3,2,21,24,True,svd_mean_r8,0.0,0.89901757411038,0.10675225660724531,0.04303974658250809,0.04303974658250809,0.0,0,0,0,0,0.0,0.3874298483133316,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,df80b9a265f1c4dbbf3c9d7c36eda659b9d4022fbea6961a6d0bd520e44add61,1,35,36,False,svd_mean_r8,0.0,0.935116545558215,0.000651361351819932,-0.17836347500269767,-0.17836347500269767,0.0,0,0,0,0,0.0,0.416617464274168,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,3,1,8,False,svd_mean_r8,0.0,0.9315544552942076,0.07479112280230338,0.025298123742686585,0.025298123742686585,0.0,0,0,0,0,0.0,0.4343166444450617,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,0120004419d6d9182c9bf7dc7d01fcc89c2fab04eb0e2f667a4a1c256ada759f,2,17,20,True,core_tsv_r8,0.0,0.8819968048795206,0.0670717106275942,1.1512166894972324,1.1512166894972324,0.0,16,0,0,0,0.0,0.46528116054832935,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,01ada171ec9092e472bb5a8342664ad666c7da1ed459e1b3d7c5b4183bdadfe6,1,15,16,False,core_tsv_r8,0.0,0.9319868637908522,0.0019662090244575194,0.46051509538665414,0.46051509538665414,0.0,16,0,0,0,0.0,0.49707269854843616,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,0745f6fa4971e52bc0748f19de77f0f705061d0b0e11e19e0c884fd6e2eaddb4,1,1,2,True,core_tsv_r8,0.0,0.9144776466334994,0.06065724301714732,0.07532725326018408,0.07532725326018408,0.0,16,0,0,0,0.0,0.5513091459870338,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,17903bc836d8ba50b43430c97fedaa2cc578e7cc2f448a227d5cfc5bb0581fcd,3,9,16,False,core_tsv_r8,0.0,0.8243047018498082,0.08735568412067601,0.9831170663237572,0.9831170663237572,0.0,16,0,0,0,0.0,0.5404709093272686,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,1d39607e63fa78261f1d172ed38d6a6e84d7e36aa538509899460baa5df69d23,1,27,28,True,core_tsv_r8,0.0,0.947847052464677,0.06390536151398443,0.5903035720621119,0.5903035720621119,0.0,16,0,0,0,0.0,0.4797480572015047,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,27adcbaca6c70de0c993a2a53a1f52237465b808dd9e083cc65da462139d6786,1,19,20,True,core_tsv_r8,0.0,0.920115862084236,0.05955816374318385,0.7192709827795625,0.7192709827795625,0.0,16,0,0,0,0.0,0.5634067114442587,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,2c6db93757974a4ef9066ede8feb683f1c5e222d74e317979a3a151f045992b6,2,25,28,False,core_tsv_r8,0.0,0.883489114219492,0.05461695245312123,1.4950748886913061,1.4950748886913061,0.0,16,0,0,0,0.0,0.4882160406559706,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,31f32c9500cad0c67c045dd5ee862d32d65a71ae6f1f6b49cbbdc542e1a65f11,1,7,8,True,core_tsv_r8,0.0,0.9319846719006475,0.0775689109509388,0.10943339206278324,0.10943339206278324,0.0,16,0,0,0,0.0,0.49734433367848396,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,3268eb5e058af87379c0b0aa52a2b217228642bcb1daf383b7a48947b01cda74,1,31,32,True,core_tsv_r8,0.0,0.9478522855978264,0.07297681314247377,0.15124841034412384,0.15124841034412384,0.0,16,0,0,0,0.0,0.4755587372928858,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,41b93a772df39c1f62c5102bd843077e53a00f6455f9e6a8e076d8e41cf9dbf0,2,13,16,False,core_tsv_r8,0.0,0.9004578931823618,0.08766576515737706,0.5400587944313884,0.5400587944313884,0.0,16,0,0,0,0.0,0.48755278065800667,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,43132f6a2dbb904542b9be65f7f3134e43f57b3b88035b83885dea7243114432,1,3,4,True,core_tsv_r8,0.0,0.9093588745120537,0.055455170033231437,0.11029634810984135,0.11029634810984135,0.0,16,0,0,0,0.0,0.5102959554642439,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,47a1b0022fc1f6941637d400a3dfc547e7aca79629a175bd136aae7439b89537,1,17,18,True,core_tsv_r8,0.0,0.9273176853265758,0.06578648059853473,0.6981622409075499,0.6981622409075499,0.0,16,0,0,0,0.0,0.5327486172318459,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,4bdb7b41d4d17f5e16d516d27a7da1fa545642faa8a309d99017dda2a6df808e,2,9,12,False,core_tsv_r8,0.0,0.8922208824643152,0.0018130961152748786,2.4412083718925714,2.4412083718925714,0.0,16,0,0,0,0.0,0.4971884451806545,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,579daa4083af565af0228b0422403b9cb8cd7d2eb6a11073ad6a6da6177c78d7,1,29,30,True,core_tsv_r8,0.0,0.9503362410272345,0.06966824021752985,0.35046811308711767,0.35046811308711767,0.0,16,0,0,0,0.0,0.5093963239341974,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,619dd99f9be6af638bc99c9d6ac7b095d81e6822159cdce7c3c50ecba2e189ef,1,33,34,True,core_tsv_r8,0.0,0.946732337954223,0.07423928949059382,0.09642687469022349,0.09642687469022349,0.0,16,0,0,0,0.0,0.5127824544906616,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,650f23a261ea23e511b3153fb6e2d826b06ebea231f131c64b9a38355791bd2c,3,17,24,False,core_tsv_r8,0.0,0.7998048609966196,0.001850080208696315,0.18388060480356216,0.18388060480356216,0.0,16,0,0,0,0.0,0.5531653594225645,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,6c5f1585c41e7075e871f7adfde75d89fdec84b294a4e78a3ddf838ccd6e74bb,1,25,26,False,core_tsv_r8,0.0,0.9238800808602143,0.003818561291125566,0.46715041800780455,0.46715041800780455,0.0,16,0,0,0,0.0,0.5195171535015106,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,732d05fd02dc1d0f785f7be1aea87536e1d29d9ed3f6286634c0499f5442df89,2,5,8,False,core_tsv_r8,0.0,0.8688358695306458,0.058884036431996384,3.243499010335654,3.243499010335654,0.0,16,0,0,0,0.0,0.4564378671348095,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,77274d05894a0c90f13f165e9ee95a1960266c36a5cd296b19fecefdeba8c249,1,23,24,True,core_tsv_r8,0.0,0.8841971421599288,0.050242538060127476,0.15698742121458054,0.15698742121458054,0.0,16,0,0,0,0.0,0.51118846796453,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,4,1,16,False,core_tsv_r8,0.0,0.6963223482760605,0.01939481903430538,0.682476969435811,0.682476969435811,0.0,16,0,0,0,0.0,0.5648256819695234,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,9b12f10fa73d981a4308fc651241f0e93bf33411beae1c110cf310bca0776dd4,2,33,36,False,core_tsv_r8,0.0,0.8820072006835211,0.04325189082238947,1.2145405469927937,1.2145405469927937,0.0,16,0,0,0,0.0,0.48678276129066944,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,9efb562b2ebd0a8a69e887dd9091ffaee44ff091a80f3340e28ec08673872bb6,1,37,38,True,core_tsv_r8,0.0,0.9063601343115056,0.05466240035507613,-0.020067445933818817,-0.020067445933818817,0.0,16,0,0,0,0.0,0.5079848095774651,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,b2034116721a1c9ecc1fa15e77d141b055fd4d4e4c12779737ad6cc1b29325d0,2,29,32,False,core_tsv_r8,0.0,0.8912026484981425,0.04402623052135049,2.2422843603417277,2.2422843603417277,0.0,16,0,0,0,0.0,0.4835475143045187,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,bc85c22e99541f6399cd9093f7de51acac97498d1ffe8c2d4f7562701b65349d,1,9,10,True,core_tsv_r8,0.0,0.9330232731857716,0.08111882932361268,-0.017352404072880745,-0.017352404072880745,0.0,16,0,0,0,0.0,0.5174032002687454,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,c4d80ef71742dbedf6d54f1ca6918a20347a24b5fd4bc92974ba441ce96a4e2f,1,11,12,True,core_tsv_r8,0.0,0.9325764979475932,0.11218755784046308,0.2632289556786418,0.2632289556786418,0.0,16,0,0,0,0.0,0.47437910735607147,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,c68ad33b3997eab723aab56e71bc046d278b975179df40ce2414b056a355dbd3,1,13,14,True,core_tsv_r8,0.0,0.9335957384937016,0.11254589684805846,0.2500488171353936,0.2500488171353936,0.0,16,0,0,0,0.0,0.49716355837881565,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,d05fcbfaa1c7f3d9d2321ceacda63a16df1ea8715457f64da340d3ec70d270b7,3,25,32,False,core_tsv_r8,0.0,0.804662501528024,0.05631908309862023,1.5521422252058987,1.5521422252058987,0.0,16,0,0,0,0.0,0.5087048038840294,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,d78a48be60f03de3d98576874509787b2d6b86f7d6fb77a9dfbd6c3541a9493e,1,5,6,False,core_tsv_r8,0.0,0.9236141486713386,0.009018642333188673,0.14798963721841574,0.14798963721841574,0.0,16,0,0,0,0.0,0.4809543788433075,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,dc4958ca640784e24adedf85bf25fbc4472926133226bba116da1a21e53f73eb,2,1,4,True,core_tsv_r8,0.0,0.853503958940136,0.060897117755112314,0.8652074534911662,0.8652074534911662,0.0,16,0,0,0,0.0,0.49992466904222965,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,dd7f0228d04beca2a9eb661c4df5a04f10d63006ae1c363bfe1f4b56bdce470f,1,21,22,True,core_tsv_r8,0.0,0.8783429953151327,0.055026707255667176,0.1757640764117241,0.1757640764117241,0.0,16,0,0,0,0.0,0.604529483243823,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
546c828af41198edfcc3520d8c0f283eb2555357e275e50fddef434791470b03,dd802562e95d2e17cbf51e08bd92c703cc4d96dfd390f0e59d95b4c5b59733c3,2,21,24,True,core_tsv_r8,0.0,0.8231192018959378,0.05993509430405406,0.36671509593725204,0.36671509593725204,0.0,16,0,0,0,0.0,0.47428442537784576,6d33e7dbc75893145514b2c5851cb322b879bee0974ee6f8e143dd526b42349d
