policy,max_nodes_per_level,run_seed,learned_permutation_count,created_node_count,shared_forward_example_passes,shared_backward_example_passes,shared_forward_calls,shared_backward_calls
one_node_per_level,1,3,93,1,5120,5120,80,80
one_node_per_level,1,3,94,2,15360,15360,240,240
one_node_per_level,1,3,95,1,5120,5120,80,80
one_node_per_level,1,3,96,6,322560,322560,5040,5040
one_node_per_level,1,3,97,1,5120,5120,80,80
one_node_per_level,1,3,98,2,15360,15360,240,240
one_node_per_level,1,3,99,1,5120,5120,80,80
one_node_per_level,1,3,100,3,35840,35840,560,560
one_node_per_level,1,4,1,1,5120,5120,80,80
one_node_per_level,1,4,2,2,15360,15360,240,240
one_node_per_level,1,4,3,1,5120,5120,80,80
one_node_per_level,1,4,4,3,35840,35840,560,560
one_node_per_level,1,4,5,1,5120,5120,80,80
one_node_per_level,1,4,6,2,15360,15360,240,240
one_node_per_level,1,4,7,1,5120,5120,80,80
one_node_per_level,1,4,8,4,76800,76800,1200,1200
one_node_per_level,1,4,9,1,5120,5120,80,80
one_node_per_level,1,4,10,2,15360,15360,240,240
one_node_per_level,1,4,11,1,5120,5120,80,80
one_node_per_level,1,4,12,3,35840,35840,560,560
one_node_per_level,1,4,13,1,5120,5120,80,80
one_node_per_level,1,4,14,2,15360,15360,240,240
one_node_per_level,1,4,15,1,5120,5120,80,80
one_node_per_level,1,4,16,5,158720,158720,2480,2480
one_node_per_level,1,4,17,1,5120,5120,80,80
one_node_per_level,1,4,18,2,15360,15360,240,240
one_node_per_level,1,4,19,1,5120,5120,80,80
one_node_per_level,1,4,20,3,35840,35840,560,560
one_node_per_level,1,4,21,1,5120,5120,80,80
one_node_per_level,1,4,22,2,15360,15360,240,240
one_node_per_level,1,4,23,1,5120,5120,80,80
one_node_per_level,1,4,24,4,76800,76800,1200,1200
one_node_per_level,1,4,25,1,5120,5120,80,80
one_node_per_level,1,4,26,2,15360,15360,240,240
one_node_per_level,1,4,27,1,5120,5120,80,80
one_node_per_level,1,4,28,3,35840,35840,560,560
one_node_per_level,1,4,29,1,5120,5120,80,80
one_node_per_level,1,4,30,2,15360,15360,240,240
one_node_per_level,1,4,31,1,5120,5120,80,80
one_node_per_level,1,4,32,6,322560,322560,5040,5040
one_node_per_level,1,4,33,1,5120,5120,80,80
one_node_per_level,1,4,34,2,15360,15360,240,240
one_node_per_level,1,4,35,1,5120,5120,80,80
one_node_per_level,1,4,36,3,35840,35840,560,560
one_node_per_level,1,4,37,1,5120,5120,80,80
one_node_per_level,1,4,38,2,15360,15360,240,240
one_node_per_level,1,4,39,1,5120,5120,80,80
one_node_per_level,1,4,40,4,76800,76800,1200,1200
one_node_per_level,1,4,41,1,5120,5120,80,80
one_node_per_level,1,4,42,2,15360,15360,240,240
one_node_per_level,1,4,43,1,5120,5120,80,80
one_node_per_level,1,4,44,3,35840,35840,560,560
one_node_per_level,1,4,45,1,5120,5120,80,80
one_node_per_level,1,4,46,2,15360,15360,240,240
one_node_per_level,1,4,47,1,5120,5120,80,80
one_node_per_level,1,4,48,5,158720,158720,2480,2480
one_node_per_level,1,4,49,1,5120,5120,80,80
one_node_per_level,1,4,50,2,15360,15360,240,240
one_node_per_level,1,4,51,1,5120,5120,80,80
one_node_per_level,1,4,52,3,35840,35840,560,560
one_node_per_level,1,4,53,1,5120,5120,80,80
one_node_per_level,1,4,54,2,15360,15360,240,240
one_node_per_level,1,4,55,1,5120,5120,80,80
one_node_per_level,1,4,56,4,76800,76800,1200,1200
one_node_per_level,1,4,57,1,5120,5120,80,80
one_node_per_level,1,4,58,2,15360,15360,240,240
one_node_per_level,1,4,59,1,5120,5120,80,80
one_node_per_level,1,4,60,3,35840,35840,560,560
one_node_per_level,1,4,61,1,5120,5120,80,80
one_node_per_level,1,4,62,2,15360,15360,240,240
one_node_per_level,1,4,63,1,5120,5120,80,80
one_node_per_level,1,4,64,7,650240,650240,10160,10160
one_node_per_level,1,4,65,1,5120,5120,80,80
one_node_per_level,1,4,66,2,15360,15360,240,240
one_node_per_level,1,4,67,1,5120,5120,80,80
one_node_per_level,1,4,68,3,35840,35840,560,560
one_node_per_level,1,4,69,1,5120,5120,80,80
one_node_per_level,1,4,70,2,15360,15360,240,240
one_node_per_level,1,4,71,1,5120,5120,80,80
one_node_per_level,1,4,72,4,76800,76800,1200,1200
one_node_per_level,1,4,73,1,5120,5120,80,80
one_node_per_level,1,4,74,2,15360,15360,240,240
one_node_per_level,1,4,75,1,5120,5120,80,80
one_node_per_level,1,4,76,3,35840,35840,560,560
one_node_per_level,1,4,77,1,5120,5120,80,80
one_node_per_level,1,4,78,2,15360,15360,240,240
one_node_per_level,1,4,79,1,5120,5120,80,80
one_node_per_level,1,4,80,5,158720,158720,2480,2480
one_node_per_level,1,4,81,1,5120,5120,80,80
one_node_per_level,1,4,82,2,15360,15360,240,240
one_node_per_level,1,4,83,1,5120,5120,80,80
one_node_per_level,1,4,84,3,35840,35840,560,560
one_node_per_level,1,4,85,1,5120,5120,80,80
one_node_per_level,1,4,86,2,15360,15360,240,240
one_node_per_level,1,4,87,1,5120,5120,80,80
one_node_per_level,1,4,88,4,76800,76800,1200,1200
one_node_per_level,1,4,89,1,5120,5120,80,80
one_node_per_level,1,4,90,2,15360,15360,240,240
one_node_per_level,1,4,91,1,5120,5120,80,80
one_node_per_level,1,4,92,3,35840,35840,560,560
one_node_per_level,1,4,93,1,5120,5120,80,80
one_node_per_level,1,4,94,2,15360,15360,240,240
one_node_per_level,1,4,95,1,5120,5120,80,80
one_node_per_level,1,4,96,6,322560,322560,5040,5040
one_node_per_level,1,4,97,1,5120,5120,80,80
one_node_per_level,1,4,98,2,15360,15360,240,240
one_node_per_level,1,4,99,1,5120,5120,80,80
one_node_per_level,1,4,100,3,35840,35840,560,560
two_nodes_per_level,2,0,1,1,5120,5120,80,80
two_nodes_per_level,2,0,2,1,5120,5120,80,80
two_nodes_per_level,2,0,3,2,15360,15360,240,240
two_nodes_per_level,2,0,4,1,5120,5120,80,80
two_nodes_per_level,2,0,5,2,15360,15360,240,240
two_nodes_per_level,2,0,6,1,5120,5120,80,80
two_nodes_per_level,2,0,7,3,35840,35840,560,560
two_nodes_per_level,2,0,8,1,5120,5120,80,80
two_nodes_per_level,2,0,9,2,15360,15360,240,240
two_nodes_per_level,2,0,10,1,5120,5120,80,80
two_nodes_per_level,2,0,11,3,35840,35840,560,560
two_nodes_per_level,2,0,12,1,5120,5120,80,80
two_nodes_per_level,2,0,13,2,15360,15360,240,240
two_nodes_per_level,2,0,14,1,5120,5120,80,80
two_nodes_per_level,2,0,15,4,76800,76800,1200,1200
two_nodes_per_level,2,0,16,1,5120,5120,80,80
two_nodes_per_level,2,0,17,2,15360,15360,240,240
two_nodes_per_level,2,0,18,1,5120,5120,80,80
two_nodes_per_level,2,0,19,3,35840,35840,560,560
two_nodes_per_level,2,0,20,1,5120,5120,80,80
two_nodes_per_level,2,0,21,2,15360,15360,240,240
two_nodes_per_level,2,0,22,1,5120,5120,80,80
two_nodes_per_level,2,0,23,4,76800,76800,1200,1200
