accuracy,condition,partition,stage,task
74.28571581840515,rotating__example_uniform__carry,validation,31,24
69.8113203048706,rotating__example_uniform__carry,validation,31,25
71.71717286109924,rotating__example_uniform__carry,validation,31,26
72.52747416496277,rotating__example_uniform__carry,validation,31,27
82.71604776382446,rotating__example_uniform__carry,validation,31,28
71.7391312122345,rotating__example_uniform__carry,validation,31,29
91.45299196243286,rotating__example_uniform__carry,validation,31,3
80.11695742607117,rotating__example_uniform__carry,validation,31,30
80.2197813987732,rotating__example_uniform__carry,validation,31,31
82.733815908432,rotating__example_uniform__carry,validation,31,4
81.5533995628357,rotating__example_uniform__carry,validation,31,5
87.36842274665833,rotating__example_uniform__carry,validation,31,6
89.13043737411499,rotating__example_uniform__carry,validation,31,7
87.85046935081482,rotating__example_uniform__carry,validation,31,8
81.90476298332214,rotating__example_uniform__carry,validation,31,9
98.42519760131836,rotating__example_uniform__reset_each_stage,fit_population,31,1
97.94520735740662,rotating__example_uniform__reset_each_stage,fit_population,31,10
99.05063509941101,rotating__example_uniform__reset_each_stage,fit_population,31,11
97.55434989929199,rotating__example_uniform__reset_each_stage,fit_population,31,12
99.02200698852539,rotating__example_uniform__reset_each_stage,fit_population,31,13
99.28571581840515,rotating__example_uniform__reset_each_stage,fit_population,31,14
98.92473220825195,rotating__example_uniform__reset_each_stage,fit_population,31,15
99.52718615531921,rotating__example_uniform__reset_each_stage,fit_population,31,16
99.24812316894531,rotating__example_uniform__reset_each_stage,fit_population,31,17
97.92899489402771,rotating__example_uniform__reset_each_stage,fit_population,31,18
94.79768872261047,rotating__example_uniform__reset_each_stage,fit_population,31,19
98.54369163513184,rotating__example_uniform__reset_each_stage,fit_population,31,2
97.83950448036194,rotating__example_uniform__reset_each_stage,fit_population,31,20
96.32829427719116,rotating__example_uniform__reset_each_stage,fit_population,31,21
98.95833134651184,rotating__example_uniform__reset_each_stage,fit_population,31,22
97.59358167648315,rotating__example_uniform__reset_each_stage,fit_population,31,23
95.6204354763031,rotating__example_uniform__reset_each_stage,fit_population,31,24
93.68932247161865,rotating__example_uniform__reset_each_stage,fit_population,31,25
94.16243433952332,rotating__example_uniform__reset_each_stage,fit_population,31,26
93.59331727027893,rotating__example_uniform__reset_each_stage,fit_population,31,27
