accuracy,condition,partition,stage,task
99.0867555141449,static__task_uniform__reset_each_stage,fit_population,31,10
99.36708807945251,static__task_uniform__reset_each_stage,fit_population,31,11
97.0108687877655,static__task_uniform__reset_each_stage,fit_population,31,12
99.26650524139404,static__task_uniform__reset_each_stage,fit_population,31,13
97.3809540271759,static__task_uniform__reset_each_stage,fit_population,31,14
98.65591526031494,static__task_uniform__reset_each_stage,fit_population,31,15
98.58155846595764,static__task_uniform__reset_each_stage,fit_population,31,16
98.24561476707458,static__task_uniform__reset_each_stage,fit_population,31,17
96.44970297813416,static__task_uniform__reset_each_stage,fit_population,31,18
93.06358098983765,static__task_uniform__reset_each_stage,fit_population,31,19
98.54369163513184,static__task_uniform__reset_each_stage,fit_population,31,2
96.91358208656311,static__task_uniform__reset_each_stage,fit_population,31,20
95.68034410476685,static__task_uniform__reset_each_stage,fit_population,31,21
97.39583134651184,static__task_uniform__reset_each_stage,fit_population,31,22
92.78075098991394,static__task_uniform__reset_each_stage,fit_population,31,23
94.525545835495,static__task_uniform__reset_each_stage,fit_population,31,24
96.11650705337524,static__task_uniform__reset_each_stage,fit_population,31,25
96.70050740242004,static__task_uniform__reset_each_stage,fit_population,31,26
95.54317593574524,static__task_uniform__reset_each_stage,fit_population,31,27
97.5232183933258,static__task_uniform__reset_each_stage,fit_population,31,28
94.7802186012268,static__task_uniform__reset_each_stage,fit_population,31,29
98.29424023628235,static__task_uniform__reset_each_stage,fit_population,31,3
92.99269914627075,static__task_uniform__reset_each_stage,fit_population,31,30
94.27793025970459,static__task_uniform__reset_each_stage,fit_population,31,31
98.93805384635925,static__task_uniform__reset_each_stage,fit_population,31,4
98.30508232116699,static__task_uniform__reset_each_stage,fit_population,31,5
98.44961166381836,static__task_uniform__reset_each_stage,fit_population,31,6
97.28997349739075,static__task_uniform__reset_each_stage,fit_population,31,7
97.42990732192993,static__task_uniform__reset_each_stage,fit_population,31,8
98.82075190544128,static__task_uniform__reset_each_stage,fit_population,31,9
86.17021441459656,static__task_uniform__reset_each_stage,validation,31,1
