arm,policy,max_nodes_per_level,run_seed,training_sample_multiplier,learned_permutation_count,created_node_count,shared_forward_example_passes,shared_backward_example_passes,shared_forward_calls,shared_backward_calls
large_model_double_samples,one_node_per_level,1,0,2,21,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,22,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,23,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,24,4,153600,153600,2400,2400
large_model_double_samples,one_node_per_level,1,0,2,25,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,26,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,27,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,28,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,29,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,30,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,31,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,32,6,645120,645120,10080,10080
large_model_double_samples,one_node_per_level,1,0,2,33,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,34,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,35,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,36,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,37,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,38,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,39,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,40,4,153600,153600,2400,2400
large_model_double_samples,one_node_per_level,1,0,2,41,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,42,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,43,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,44,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,45,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,46,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,47,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,48,5,317440,317440,4960,4960
large_model_double_samples,one_node_per_level,1,0,2,49,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,50,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,51,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,52,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,53,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,54,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,55,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,56,4,153600,153600,2400,2400
large_model_double_samples,one_node_per_level,1,0,2,57,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,58,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,59,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,60,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,61,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,62,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,63,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,64,7,1300480,1300480,20320,20320
large_model_double_samples,one_node_per_level,1,0,2,65,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,66,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,67,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,68,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,69,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,70,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,71,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,72,4,153600,153600,2400,2400
large_model_double_samples,one_node_per_level,1,0,2,73,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,74,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,75,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,76,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,77,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,78,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,79,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,80,5,317440,317440,4960,4960
large_model_double_samples,one_node_per_level,1,0,2,81,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,82,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,83,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,84,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,85,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,86,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,87,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,88,4,153600,153600,2400,2400
large_model_double_samples,one_node_per_level,1,0,2,89,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,90,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,91,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,92,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,93,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,94,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,95,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,96,6,645120,645120,10080,10080
large_model_double_samples,one_node_per_level,1,0,2,97,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,98,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,99,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,100,3,71680,71680,1120,1120
