arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,22,3,7,4411658,0.7368608117103577,1.0150471925735474,512,256,256,4,0.11063448525965214,0.0,0.003945555537939072,0.045805549249053,0.060883380472660065,3584,1536,2048,2048,6,32,16,1024,5632,16896,5632
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,23,4,7,4411658,0.7275815010070801,1.0060499906539917,512,256,256,4,0.13153769448399544,0.0,0.004716649651527405,0.05725150182843208,0.06956954300403595,4096,2048,2048,2048,8,32,16,1024,5888,23552,5888
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,24,2,7,4411658,0.76220703125,0.9422219395637512,512,256,256,4,0.09725227765738964,0.0,0.005020257085561752,0.029474828392267227,0.06275719217956066,3072,1024,2048,2048,4,32,16,1024,6144,12288,6144
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,25,3,7,4411658,0.7439062595367432,0.9470027685165405,512,256,256,4,0.11109903082251549,0.0,0.004600068554282188,0.04212034121155739,0.06437862105667591,3584,1536,2048,2048,6,32,16,1024,6400,19200,6400
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,26,3,7,4411658,0.7400841116905212,0.9784424901008606,512,256,256,4,0.11277798935770988,0.0,0.004635166376829147,0.04335686005651951,0.06478596292436123,3584,1536,2048,2048,6,32,16,1024,6656,19968,6656
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,full_replay_integrator_20_epochs,26,3,7,4411658,0.7983773946762085,1.1072865724563599,6656,6656,0,20,2.8631810545921326,0.02578543685376644,0.0035806819796562195,0.14339490793645382,2.690420027822256,153088,19968,133120,133120,12,1040,1040,13312,6656,19968,6656
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,27,4,7,4411658,0.7287326455116272,1.0165162086486816,512,256,256,4,0.11901870183646679,0.0,0.005061237141489983,0.053426796570420265,0.06053066812455654,4096,2048,2048,2048,8,32,16,1024,6912,27648,6912
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,28,3,7,4411658,0.7320033311843872,1.0225303173065186,512,256,256,4,0.10963675566017628,0.0,0.005868373438715935,0.04297383315861225,0.06079454906284809,3584,1536,2048,2048,6,32,16,1024,7168,21504,7168
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,29,4,7,4411658,0.7277747988700867,1.0227285623550415,512,256,256,4,0.11289317719638348,0.0,0.00549209862947464,0.05326152965426445,0.054139548912644386,4096,2048,2048,2048,8,32,16,1024,7424,29696,7424
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,30,4,7,4411658,0.7222656011581421,1.0067912340164185,512,256,256,4,0.12705559842288494,0.0,0.005340639501810074,0.06055253930389881,0.061162419617176056,4096,2048,2048,2048,8,32,16,1024,7680,30720,7680
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,31,5,7,4411658,0.7431955933570862,0.954107403755188,512,256,256,4,0.1313532255589962,0.0,0.0057066455483436584,0.061668284237384796,0.06397829577326775,4608,2560,2048,2048,10,32,16,1024,7936,39680,7936
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,32,1,7,4411658,0.7808837890625,0.9175522327423096,512,256,256,4,0.09463955834507942,0.0,0.00669376365840435,0.020820792764425278,0.0671250019222498,2560,512,2048,2048,2,32,16,1024,8192,8192,8192
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,33,2,7,4411658,0.7771070003509521,0.9169399738311768,512,256,256,4,0.10431701131165028,0.0,0.005664056167006493,0.028777459636330605,0.06987549550831318,3072,1024,2048,2048,4,32,16,1024,8448,16896,8448
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,34,2,7,4411658,0.7647058963775635,0.931710422039032,512,256,256,4,0.11657054349780083,0.0,0.0067946333438158035,0.03385569900274277,0.07592021115124226,3072,1024,2048,2048,4,32,16,1024,8704,17408,8704
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,35,3,7,4411658,0.7549107074737549,0.9577902555465698,512,256,256,4,0.11591986007988453,0.0,0.006668843328952789,0.04335618205368519,0.06589483469724655,3584,1536,2048,2048,6,32,16,1024,8960,26880,8960
